input1,input1.1,input1.2,input1.3,input1.4,output1_delay4sec,output2_delay4sec,output3_delay4sec,output4_delay4sec,output5_delay4sec,output6_delay4sec,output7_delay4sec
43.56498,1.33441,640.95008,0.99611,-8.07615,2691.7,14.617,14.595,686.15,141.11,566.06,486.45
43.80309,1.04836,640.50525,1.004825,-8.03726,3350.5,14.619,14.461,756.68,138.75,563.86,486.54
44.19779,0.76877,639.80718,1.005695,-7.99626,3378.0,14.617,14.402,763.94,137.08,563.21,486.4
44.62579,0.57708,639.36736,0.998205,-7.95731,2469.5,14.601,14.555,670.3,136.55,565.47,485.91
44.9883,0.2819,638.69566,0.998395,-7.91953,2406.5,14.594,14.516,665.81,135.34,565.09,485.68
45.02866,0.08737,638.623,0.99811,-7.89863,3133.7,14.617,14.28,754.17,133.82,561.97,485.72
44.99456,0.13163,638.625,1.00187,-7.89854,3115.0,14.616,14.205,757.04,132.87,561.3,485.52
45.0322,-0.05663,638.625,0.99763,-7.89856,3151.0,14.615,14.091,764.47,133.3,560.41,485.32
45.08783,0.13809,638.625,0.995375,-7.89856,2746.4,14.61,14.221,720.67,133.23,561.84,485.2
45.0331,-0.06681,638.6253,1.00669,-7.89855,3208.8,14.614,13.998,771.55,133.86,559.85,485.34
44.97399,0.25173,639.22875,1.004095,-7.88875,3484.5,14.61,14.052,796.24,132.85,559.65,485.44
45.28575,0.49713,642.93303,0.99935,-7.85857,2348.3,14.583,14.27,669.07,133.71,563.14,485.1
45.81355,0.12172,647.00188,0.999535,-7.83069,2543.7,14.6,14.347,695.87,132.78,562.83,485.05
46.00642,0.52572,650.95522,1.00197,-7.80027,3004.7,14.615,14.409,749.92,130.33,562.01,485.22
46.38119,0.06324,655.19581,1.00654,-7.76774,2983.6,14.615,14.338,752.42,129.17,561.75,485.44
46.57394,0.45714,659.00613,1.00939,-7.73987,2727.5,14.611,14.681,723.72,126.6,563.96,485.4
47.0285,0.0823,662.86001,1.009675,-7.70912,2353.3,14.585,14.656,680.14,126.44,564.77,485.37
47.13113,0.03794,667.08597,1.01433,-7.67688,2172.3,14.562,15.012,650.18,123.94,567.27,485.44
