in1,in2,in3,in4,out1,out2,out1_2sec_shift,out1_2sec_shift_noise,out1_2sec_shift_filt,out1_2sec_shift_noise_filt,out1_4sec_shift,out1_4sec_shift_noise,out1_4sec_shift_filt,out1_4sec_shift_noise_filt,out1_6sec_shift,out1_6sec_shift_noise,out1_6sec_shift_filt,out1_6sec_shift_noise_filt,out1_8sec_shift,out1_8sec_shift_noise,out1_8sec_shift_filt,out1_8sec_shift_noise_filt,out1_10sec_shift,out1_10sec_shift_noise,out1_10sec_shift_filt,out1_10sec_shift_noise_filt,out2_2sec_shift,out2_2sec_shift_noise,out2_2sec_shift_filt,out2_2sec_shift_noise_filt,out2_4sec_shift,out2_4sec_shift_noise,out2_4sec_shift_filt,out2_4sec_shift_noise_filt,out2_6sec_shift,out2_6sec_shift_noise,out2_6sec_shift_filt,out2_6sec_shift_noise_filt,out2_8sec_shift,out2_8sec_shift_noise,out2_8sec_shift_filt,out2_8sec_shift_noise_filt,out2_10sec_shift,out2_10sec_shift_noise,out2_10sec_shift_filt,out2_10sec_shift_noise_filt
-24.984,42.345,3000.0,600.81,2642.0,2000.8,2579.7,2579.843568243215,2587.152310666944,2586.8674315412736,2563.4,2564.2410993741105,2562.466146864074,2562.758724513763,2535.9,2535.405196501537,2534.5676299334723,2534.8750127251715,2495.0,2495.557612494706,2498.203848301058,2497.969763110319,2445.3,2445.8430133310426,2453.8967397451934,2453.290679821476,1996.0,1996.6134324196717,1997.7434521719688,1998.1785223306345,1993.2,1992.6017386587823,1993.1099153815192,1993.3771663466566,1988.1,1988.0632123202624,1986.5813052129856,1986.6892918044982,1978.1,1978.7361239510583,1976.336770689723,1975.6849852336336,1957.3,1955.805411421804,1960.6931673982976,1961.066486672121
-24.44,42.099,3000.0,601.89,2660.5,1999.5,2591.4,2593.1048226347007,2604.560214476256,2604.1048456873004,2587.8,2586.272015399354,2577.4377688442555,2577.7932771251235,2537.7,2536.858148773807,2545.8650312415584,2546.111724408679,2531.8,2533.904563405363,2520.81583125425,2519.8157624559035,2473.6,2474.1569353002064,2473.4635290916185,2472.866657539624,2002.6,2002.5951868875047,1999.9954810474458,2000.3966997154212,1996.2,1995.7616351061865,1995.4409551841234,1995.523824203074,1990.4,1990.3459014762007,1990.285122236091,1990.0345107132052,1980.8,1981.002164393583,1981.8357150958936,1981.233278586933,1970.7,1970.0579287766352,1968.9911583837315,1969.4091806071178
-24.306,42.205,3000.0,603.4,2666.3,1999.2,2642.0,2640.374516289053,2632.056257482912,2631.1100830437954,2579.7,2579.3078497596753,2587.152310666944,2587.8047523791342,2563.4,2563.6513611421287,2562.466146864074,2563.0920377464045,2535.9,2535.0723666995423,2534.5676299334723,2533.2425570074633,2495.0,2496.056788184674,2498.203848301058,2497.8736322051955,2000.8,2000.562125068767,2000.5386642362926,2000.9617867995344,1996.0,1995.5138835532641,1997.7434521719688,1997.663694894341,1993.2,1993.4996693510745,1993.1099153815192,1992.5525730942131,1988.1,1989.30427568455,1986.5813052129856,1986.1684951155557,1978.1,1979.6964129663597,1976.336770689723,1976.3067395452833
-23.313,41.953,3000.0,596.46,2669.4,1997.5,2660.5,2660.3575805244814,2653.8794341675793,2653.022867460423,2591.4,2592.442413285727,2604.560214476256,2605.3275608655504,2587.8,2587.529917490485,2577.4377688442555,2578.564182347695,2537.7,2539.1790826379556,2545.8650312415584,2544.7349603516363,2531.8,2529.1886452486674,2520.81583125425,2520.544483973178,1999.5,2001.0956104242462,1999.7654682419995,1999.9947938414825,2002.6,2003.0054059298575,1999.9954810474458,1999.7901218201937,1996.2,1997.9822136775624,1995.4409551841234,1994.8625061984783,1990.4,1990.3883182251018,1990.285122236091,1990.2362590788584,1980.8,1980.4621141389655,1981.8357150958936,1981.7416166307767
-22.798,42.136,3000.1,597.47,2675.6,1995.2,2666.3,2666.847157517016,2664.5898958039606,2664.1629662941104,2642.0,2641.8107921614637,2632.056257482912,2632.384055886664,2579.7,2580.287508035036,2587.152310666944,2588.135318447229,2563.4,2563.672582626391,2562.466146864074,2561.7768864806744,2535.9,2535.1149829110236,2534.5676299334723,2533.8310814127067,1999.2,1998.4732441939716,1998.7175240975766,1998.7374353439309,2000.8,2001.2652024635715,2000.5386642362926,2000.0355155976154,1996.0,1996.9425733436958,1997.7434521719688,1997.4082306484097,1993.2,1991.1957278662824,1993.1099153815192,1993.1821992640703,1988.1,1988.1231841302783,1986.5813052129856,1986.7532905247626
-22.592,42.049,3000.0,602.49,2687.7,1992.9,2669.4,2669.8059878020954,2670.572968730075,2670.258283843895,2660.5,2660.778727098952,2653.8794341675793,2653.8161981063786,2591.4,2592.2545073788933,2604.560214476256,2604.7876878931174,2587.8,2587.7520698120743,2577.4377688442555,2577.1497914803304,2537.7,2537.849539333531,2545.8650312415584,2544.706590812343,1997.5,1999.2600026538116,1997.2080080829826,1997.1503410421415,1999.5,1999.5911900295796,1999.7654682419995,1999.1437231273012,2002.6,2002.3222376610263,1999.9954810474458,2000.0067603651032,1996.2,1997.266186849089,1995.4409551841234,1995.388414512623,1990.4,1989.8358978808428,1990.285122236091,1990.3123569419945
-22.288,42.503,3000.0,599.11,2679.6,1992.8,2675.6,2674.803682864052,2676.709128032164,2676.9022756355453,2666.3,2667.684019435791,2664.5898958039606,2664.4438559184973,2642.0,2642.7012034492286,2632.056257482912,2631.7461759321914,2579.7,2580.7667212982756,2587.152310666944,2586.9368045756337,2563.4,2561.2339569553787,2562.466146864074,2561.6069417552285,1995.2,1993.7741561256025,1995.2847365969888,1995.118445393472,1999.2,1998.4594034538354,1998.7175240975766,1998.5140668288814,2000.8,2001.6842415356018,2000.5386642362926,2000.70353418442,1996.0,1996.3652477057722,1997.7434521719688,1997.7183725380469,1993.2,1993.9207773360658,1993.1099153815192,1993.19621456609
-22.121,42.236,3000.0,600.93,2684.4,1990.7,2687.7,2686.6641798947967,2681.492811351758,2682.2737606751793,2669.4,2668.0449367782344,2670.572968730075,2670.5466760906315,2660.5,2660.521176038397,2653.8794341675793,2653.7080158346416,2591.4,2591.8722814599587,2604.560214476256,2604.4699827769396,2587.8,2585.906486462335,2577.4377688442555,2576.9340542481323,1992.9,1994.5051416973356,1993.5489996624453,1993.35410193673,1997.5,1996.0341972329659,1997.2080080829826,1997.4431540326584,1999.5,1998.6044487779138,1999.7654682419995,1999.5496691035496,2002.6,2001.7858860774093,1999.9954810474458,1999.914513136781,1996.2,1996.549248023662,1995.4409551841234,1995.8384495351602
-21.091,42.361,3000.0,599.4,2676.1,1983.9,2679.6,2680.490007491623,2682.1959222237683,2682.9772894261987,2675.6,2674.175652954353,2676.709128032164,2676.660313954262,2666.3,2665.776419045347,2664.5898958039606,2664.9972001486412,2642.0,2640.3074172425477,2632.056257482912,2632.5907793869555,2579.7,2578.383708999609,2587.152310666944,2586.6946440062475,1992.8,1992.4333385246423,1991.924158925976,1991.6647457642205,1995.2,1995.4256579541966,1995.2847365969888,1995.5056523177373,1999.2,2000.654456906807,1998.7175240975766,1998.1981397202674,2000.8,2001.0106865305968,2000.5386642362926,2000.1241486136396,1996.0,1995.530977450621,1997.7434521719688,1998.0460045473978
-20.382,42.339,3000.0,596.45,2663.3,1979.2,2684.4,2685.4291074629296,2680.1590782249923,2681.025137901919,2687.7,2687.4336622700052,2681.492811351758,2681.086025436889,2669.4,2669.578494513501,2670.572968730075,2671.1881992365115,2660.5,2659.553432513024,2653.8794341675793,2654.8820139775894,2591.4,2593.250011572386,2604.560214476256,2604.1629556400535,1990.7,1990.6728429146692,1989.009442363175,1988.7025632501513,1992.9,1994.0174028032827,1993.5489996624453,1993.485733040001,1997.5,1996.3197421781306,1997.2080080829826,1996.8238281178,1999.5,1999.0245091377308,1999.7654682419995,1999.3422921011006,2002.6,2004.6192358159733,1999.9954810474458,2000.1450814115278
-19.956,42.739,3000.0,602.8,2669.5,1975.1,2676.1,2676.471419235615,2674.8288070953395,2675.6641610391803,2679.6,2678.2151108107996,2682.1959222237683,2681.327559732643,2675.6,2674.851559118547,2676.709128032164,2676.8801524092573,2666.3,2667.3634598945696,2664.5898958039606,2665.308321323559,2642.0,2640.538297631043,2632.056257482912,2631.6082190374427,1983.9,1986.213444205709,1984.3875131577258,1983.8833882079443,1992.8,1993.2344311553834,1991.924158925976,1991.6701235913442,1995.2,1993.7132177981082,1995.2847365969888,1995.2931420728612,1999.2,1999.2028936355532,1998.7175240975766,1998.3821779517234,2000.8,2002.8705387559344,2000.5386642362926,2000.3903866360097
-19.368,42.08,3000.0,601.9,2661.9,1969.1,2663.3,2662.39711872019,2668.9791179345802,2669.501169705107,2684.4,2684.8006340572365,2680.1590782249923,2679.2390287539183,2687.7,2687.9997978340707,2681.492811351758,2681.435265519369,2669.4,2670.7578289941566,2670.572968730075,2670.670978698169,2660.5,2661.205212133858,2653.8794341675793,2653.5750408862855,1979.2,1979.6613253630571,1979.440862581861,1978.714650075914,1990.7,1991.0765330488061,1989.009442363175,1988.5461654380658,1992.9,1994.406625985176,1993.5489996624453,1993.6183757069111,1997.5,1998.2201055500389,1997.2080080829826,1996.8725674933942,1999.5,1999.16202343819,1999.7654682419995,1999.2649912584116
-19.151,42.442,3000.0,598.36,2651.0,1970.2,2669.5,2670.087765991035,2665.455687369871,2665.762827507922,2676.1,2675.793593031605,2674.8288070953395,2674.3143948168736,2679.6,2678.8118656831616,2682.1959222237683,2682.612092186291,2675.6,2674.445068093983,2676.709128032164,2676.28107117908,2666.3,2666.207596909839,2664.5898958039606,2664.538601741083,1975.1,1975.45734821152,1974.8682763452225,1974.1777863265388,1983.9,1983.0089028123869,1984.3875131577258,1984.0325754336734,1992.8,1993.1815494869018,1991.924158925976,1991.8444516787515,1995.2,1993.604441585657,1995.2847365969888,1995.2695110599598,1999.2,1999.6278871576997,1998.7175240975766,1998.6150726308535
-18.161,42.301,3000.0,599.85,2641.2,1963.3,2661.9,2661.7012446420354,2660.002315563782,2660.291658756155,2663.3,2663.6624955113957,2668.9791179345802,2669.0404741457896,2684.4,2684.358711629153,2680.1590782249923,2680.958307196106,2687.7,2688.9038267369006,2681.492811351758,2680.68388877731,2669.4,2669.6999798678703,2670.572968730075,2670.6798118267125,1969.1,1968.9181582645908,1971.0857164342287,1970.7014903375657,1979.2,1979.6621198594048,1979.440862581861,1979.8070570291413,1990.7,1991.2124241516517,1989.009442363175,1988.959849248476,1992.9,1992.5222105645419,1993.5489996624453,1994.1508653442552,1997.5,1996.7593302642688,1997.2080080829826,1997.6401877464396
