Unnamed: 0,in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
1116,32.684,570.14,1249.8,-29.391,15.253,10.266,5591.7,13.829,80.039,1142.4,,658.04,585.56,1799.0,,,,,,,,
1117,32.849,568.8,1250.0,-29.391,15.054,10.291,5412.4,13.816,79.868,1138.3,,658.38,586.14,1785.8,,,,,,,,
1118,32.914,570.09,1250.0,-29.391,15.0,10.298,5355.6,13.815,80.001,1141.6,,658.75,586.79,1778.6,,,,,,,,
1119,33.044,567.42,1250.0,-29.391,15.0,10.287,5443.5,13.818,79.883,1132.1,,659.11,586.69,1780.1,,,,,,,,
1120,32.473,580.25,1250.0,-29.391,15.0,10.285,5400.4,13.829,80.823,1172.2,,658.16,587.25,1787.3,,,,,,,,
1121,31.892,568.6,1249.9,-29.391,15.0,10.275,5553.0,13.819,79.313,1144.2,,654.34,581.74,1834.9,,,,,,,,
1122,32.859,570.95,1250.0,-29.391,15.0,10.269,5549.9,13.83,8.022,1141.6,,658.88,586.67,1788.7,,,,,,,,
1123,33.028,564.73,1249.9,-29.391,15.0,10.279,5513.5,13.819,79.634,1124.0,,658.76,585.89,1787.9,,,,,,,,
1124,33.312,574.0,1250.2,-29.391,15.0,10.279,5449.2,13.83,80.801,1147.6,,661.17,589.57,1757.7,,,,,,,,
1125,31.879,580.06,1250.0,-29.391,15.0,10.291,5379.3,13.823,80.375,1177.8,,655.51,584.54,1812.9,,,,,,,,
1126,32.099,568.43,1249.9,-29.391,15.0,10.282,5501.6,13.817,79.388,1142.4,,655.15,582.64,1824.1,,,,,,,,
1127,33.027,570.64,1250.0,-29.391,15.0,10.278,5489.6,13.826,80.251,1140.2,,659.49,587.36,1778.6,,,,,,,,
1128,32.854,575.54,1250.2,-29.391,15.0,10.274,5489.6,13.832,80.672,1154.9,,659.39,587.84,1779.7,,,,,,,,
1129,31.718,580.14,1249.9,-29.391,15.0,10.272,5510.2,13.832,80.372,1177.6,,654.98,583.74,1825.7,,,,,,,,
1130,32.215,570.07,1250.0,-29.391,15.0,1.028,5501.4,13.82,79.643,1145.7,,655.87,583.58,1816.9,,,,,,,,
1131,32.889,570.09,1250.0,-29.388,15.0,10.282,5468.7,13.823,80.081,1140.1,,658.79,586.63,1784.9,,,,,,,,
1132,32.965,568.96,1250.0,-29.133,15.0,10.289,5416.0,13.819,79.952,1134.6,,658.78,586.59,1781.6,,,,,,,,
1133,32.638,578.98,1250.0,-28.732,15.0,10.283,5399.3,13.832,80.774,1160.5,,658.4,587.42,1783.9,,,,,,,,
1134,31.836,574.66,1250.0,-28.323,15.0,10.295,5354.4,13.819,79.696,1152.9,,654.07,582.59,1823.9,,,,,,,,
1135,32.57,569.26,1250.0,-27.937,15.0,10.287,5410.6,13.822,79.649,1126.1,,656.47,584.39,1803.4,,,,,,,,
1136,33.001,571.19,1249.9,-27.526,15.0,1.028,5423.5,13.831,80.141,1123.2,,658.4,586.58,1783.8,,,,,,,,
1137,32.791,573.47,1250.0,-27.119,15.0,10.272,5464.6,13.838,80.261,1126.1,,657.63,586.03,1793.4,,,,,,,,
1138,32.62,578.94,1250.1,-26.75,15.0,10.297,5256.3,13.832,80.543,1141.5,,657.14,586.52,1785.7,,,,,,,,
1139,31.796,576.09,1249.8,-26.348,15.0,10.282,5387.9,13.833,79.738,1134.9,,653.1,581.84,1830.8,,,,,,,,
1140,32.594,571.64,1249.9,-25.938,15.0,10.292,5312.1,13.829,79.734,1111.7,,655.71,584.22,1801.6,,,,,,,,
1141,33.028,572.19,1250.2,-25.534,15.0,10.279,5374.7,13.84,80.146,1104.4,,657.58,586.14,1786.1,,,,,,,,
1142,32.31,581.28,1250.0,-25.149,15.0,10.276,5360.1,13.849,80.581,1131.2,,655.36,584.9,1805.8,,,,,,,,
1143,32.114,571.38,1249.9,-24.741,15.0,10.283,5363.1,13.835,79.359,1100.6,,653.02,581.48,1826.8,,,,,,,,
1144,33.103,568.73,1250.0,-24.331,15.0,10.282,5347.3,13.839,79.734,1080.6,,656.77,585.09,1790.3,,,,,,,,
1145,32.787,579.34,1250.0,-23.933,15.0,10.299,5165.9,13.841,80.492,1110.6,,656.32,586.1,1783.4,,,,,,,,
1146,32.027,579.63,1250.0,-23.532,15.0,10.287,5259.0,13.845,80.036,1111.6,,652.93,582.54,1818.7,,,,,,,,
1147,32.255,570.52,1249.9,-23.135,15.0,10.296,5235.8,13.834,79.176,1079.2,,652.51,581.24,1820.5,,,,,,,,
1148,33.283,575.38,1250.2,-22.747,15.0,10.289,5216.5,13.849,80.417,1081.1,,657.43,586.85,1773.2,,,,,,,,
1149,32.33,579.7,1250.0,-22.349,15.0,10.287,5218.2,13.851,80.167,1095.2,,653.56,583.39,1808.0,,,,,,,,
1150,32.015,579.67,1250.0,-21.931,15.0,10.298,5142.9,13.845,79.859,1093.6,,651.88,581.82,1817.3,,,,,,,,
1151,32.051,574.44,1249.8,-21.525,15.0,10.285,5254.2,13.848,79.382,1071.3,,651.23,580.5,1827.7,,,,,,,,
1152,33.334,570.36,1250.2,-21.143,15.0,10.303,5107.3,13.842,79.729,1046.7,,655.98,585.18,1777.3,,,,,,,,
1153,32.886,578.41,1250.0,-20.73,15.0,10.291,5143.7,13.856,80.293,1067.4,,654.83,584.85,1788.6,,,,,,,,
1154,32.367,578.85,1250.0,-20.328,15.0,10.311,5008.9,13.845,79.829,1068.6,,652.25,582.5,1802.6,,,,,,,,
1155,32.518,579.5,1249.9,-19.929,15.0,10.295,5097.8,13.856,8.006,1062.8,,652.83,583.08,1801.2,,,,,,,,
1156,32.579,580.8,1250.0,-19.54,15.0,10.296,5074.7,13.858,80.216,1061.2,,653.03,583.5,1797.2,,,,,,,,
1157,32.511,584.58,1250.1,-19.135,15.0,10.293,5064.0,13.864,8.056,1067.5,,652.99,583.9,1795.8,,,,,,,,
1158,31.912,584.52,1249.9,-18.737,15.0,10.287,5116.7,13.866,8.013,1065.8,,650.17,580.98,1820.0,,,,,,,,
1159,32.332,582.43,1250.0,-18.333,15.0,1.03,5014.5,13.861,80.107,1051.3,,651.4,582.23,1803.8,,,,,,,,
1160,32.567,581.83,1250.0,-17.95,15.0,10.305,4969.5,13.86,80.159,1042.5,,652.08,582.97,1794.8,,,,,,,,
1161,32.529,583.5,1250.0,-17.555,15.0,10.302,4966.2,13.864,80.293,1042.1,,651.88,582.99,1795.0,,,,,,,,
1162,32.644,580.59,1250.1,-17.143,15.0,10.319,4853.1,13.855,79.941,1027.0,,651.66,582.68,1789.6,,,,,,,,
1163,32.235,591.71,1250.0,-16.741,15.0,10.276,5092.9,13.887,81.064,1056.0,,651.29,583.14,1803.3,,,,,,,,
1164,31.605,583.44,1249.8,-16.347,15.0,10.309,4914.3,13.86,79.506,1031.5,,647.09,578.32,1824.5,,,,,,,,
1165,32.666,581.67,1250.0,-15.928,15.0,1.028,5090.5,13.879,80.226,1008.7,,651.35,582.36,1800.0,,,,,,,,
