Filename,Output,CC1,PR1,LR1,AR1,LM1,CC2,PR2,LR2,AR2,LM2
cleaned_transformed_ds1.csv,out1_0sec,0,3,2,2,0,6.999999974059993,5.999999662108446,4.000000067543603,6.999999974059993,0
cleaned_transformed_ds1.csv,out2_0sec,0,3,0,3,0,2.999999917232114,5.999999913387227,4.00000012539391,1.9999999656552216,0
cleaned_transformed_ds1.csv,out1_2sec_shift,0,3,2,1,0,2.9999999347480584,5.999999895931626,2.0000001369539824,6.999999957451164,0
cleaned_transformed_ds1.csv,out1_2sec_shift_noise,0,3,2,1,0,2.9999999950132312,0.9999999950011004,0.9999999950011004,0.9999999950011004,0
cleaned_transformed_ds1.csv,out1_2sec_shift_filt,0,3,3,3,0,4.999999924443455,5.9999999119846885,4.000000126204849,1.000000079274224,0
cleaned_transformed_ds1.csv,out1_2sec_shift_noise_filt,0,3,3,3,0,1.0000000783810992,5.999999917264974,1.0000000783810992,2.999999879871932,0
cleaned_transformed_ds1.csv,out1_4sec_shift,0,3,2,1,0,5.99999961213586,5.99999961213586,2.9999999020937382,6.999999985649483,0
cleaned_transformed_ds1.csv,out1_4sec_shift_noise,0,3,2,1,0,4.999999908148248,5.999999918742152,1.0000000764076389,4.999999908148248,0
cleaned_transformed_ds1.csv,out1_4sec_shift_filt,0,3,2,0,0,6.999999963349969,5.99999992922528,4.000000114282333,3.0000002455838333,0
cleaned_transformed_ds1.csv,out1_4sec_shift_noise_filt,0,3,2,0,0,6.999999963349969,5.99999992922528,4.000000114282333,3.0000002455838333,0
cleaned_transformed_ds1.csv,out1_6sec_shift,0,3,2,0,0,6.999999963349969,5.99999992922528,4.000000114282333,3.0000002455838333,0
cleaned_transformed_ds1.csv,out1_6sec_shift_noise,0,3,2,0,0,6.999999963349969,5.99999992922528,4.000000114282333,3.0000002455838333,0
cleaned_transformed_ds1.csv,out1_6sec_shift_filt,0,3,2,3,0,6.999999966876838,5.999999933325798,4.0000001096072975,0.0,0
cleaned_transformed_ds1.csv,out1_6sec_shift_noise_filt,0,3,2,3,0,6.999999966876838,5.999999933325798,4.0000001096072975,0.0,0
cleaned_transformed_ds1.csv,out1_8sec_shift,0,3,2,1,0,6.999999959508701,5.999999933690051,4.000000129766521,4.000000129766521,0
cleaned_transformed_ds1.csv,out1_8sec_shift_noise,0,3,2,1,0,6.999999959508701,5.999999933690051,4.000000129766521,4.000000129766521,0
cleaned_transformed_ds1.csv,out1_8sec_shift_filt,0,3,2,1,0,6.999999966454647,5.999999932832257,4.000000110201949,1.0000000819016932,0
cleaned_transformed_ds1.csv,out1_8sec_shift_noise_filt,0,3,2,1,0,6.999999966454647,5.999999932832257,4.000000110201949,1.0000000819016932,0
cleaned_transformed_ds1.csv,out1_10sec_shift,0,3,2,3,0,6.999999974059993,5.999999662108446,4.000000067543603,6.999999974059993,0
cleaned_transformed_ds1.csv,out1_10sec_shift_noise,0,3,2,3,0,6.999999974059993,5.999999662108446,4.000000067543603,6.999999974059993,0
cleaned_transformed_ds1.csv,out1_10sec_shift_filt,0,3,2,0,0,6.999999963349969,5.99999992922528,4.000000114282333,3.0000002455838333,0
cleaned_transformed_ds1.csv,out1_10sec_shift_noise_filt,0,3,2,0,0,6.999999963349969,5.99999992922528,4.000000114282333,3.0000002455838333,0
cleaned_transformed_ds1.csv,out2_2sec_shift,0,3,0,0,0,6.999999959508701,5.999999933690051,4.000000129766521,4.000000129766521,0
cleaned_transformed_ds1.csv,out2_2sec_shift_noise,0,3,0,0,0,6.999999959508701,5.999999933690051,4.000000129766521,4.000000129766521,0
cleaned_transformed_ds1.csv,out2_2sec_shift_filt,0,3,0,3,0,6.999999967118408,5.999999930975394,3.0000000217532667,2.000000161122106,0
cleaned_transformed_ds1.csv,out2_2sec_shift_noise_filt,0,3,0,3,0,6.999999967118408,5.999999930975394,3.0000000217532667,2.000000161122106,0
cleaned_transformed_ds1.csv,out2_4sec_shift,0,3,0,1,0,6.999999967116048,5.999999938648988,3.000000035791503,3.000000035791503,0
cleaned_transformed_ds1.csv,out2_4sec_shift_noise,0,3,0,1,0,6.999999967116048,5.999999938648988,3.000000035791503,3.000000035791503,0
cleaned_transformed_ds1.csv,out2_4sec_shift_filt,0,3,3,0,0,2.000000168267108,5.999999911681514,4.000000142450827,3.000000058317239,0
cleaned_transformed_ds1.csv,out2_4sec_shift_noise_filt,0,3,3,3,0,2.000000168267108,5.999999911681514,4.000000142450827,3.000000058317239,0
cleaned_transformed_ds1.csv,out2_6sec_shift,0,3,0,1,0,2.0000001637820604,5.9999999314109,4.000000111863689,6.999999965235107,0
cleaned_transformed_ds1.csv,out2_6sec_shift_noise,0,3,0,0,0,1.999999787191368,5.999999905456372,4.000000150970686,4.000000150970686,0
cleaned_transformed_ds1.csv,out2_6sec_shift_filt,0,3,0,3,0,2.000000162260807,5.99999991475215,3.999999969250247,1.999999966499036,0
cleaned_transformed_ds1.csv,out2_6sec_shift_noise_filt,0,3,0,3,0,2.000000162260807,5.99999991475215,3.999999969250247,1.999999966499036,0
cleaned_transformed_ds1.csv,out2_8sec_shift,0,3,0,2,0,2.000000158941101,5.999999915330352,3.9999999626108353,1.0000000794705506,0
cleaned_transformed_ds1.csv,out2_8sec_shift_noise,0,3,0,0,0,2.000000158941101,5.999999915330352,3.9999999626108353,1.0000000794705506,0
cleaned_transformed_ds1.csv,out2_8sec_shift_filt,0,3,0,0,0,1.9999999401793724,5.999999937665336,1.9999999401793724,6.999999970557006,0
