in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,,
82.903,611.5,1500,-29.656,-0.75,0.93983,18970,13.577,88.131,1396.1,1.60E+06,601.03,529.17,2336.3,,,,,,,,,
78.117,615.16,1500,-29.656,-0.75,0.9407,18787,13.58,88.166,1429.5,1.58E+06,599.36,527.42,2337.7,,,,,,,,,
80.642,620.49,1500.1,-29.656,-0.75,0.93952,18975,13.577,88.945,1426,1.61E+06,601.09,529.68,2332.3,,,,,,,,,
79.763,625.88,1500,-29.656,-0.75,0.94039,18758,13.584,89.414,1447.7,1.60E+06,601.25,530.17,2325.2,,,,,,,,,
8.153,629.83,1500,-29.656,-0.75,0.94118,18555,13.591,89.913,1454.4,1.59E+06,602.37,531.73,2315.4,,,,,,,,,
82.465,634.99,1500.1,-29.656,-0.75,0.93887,18981,13.58,90.632,1450.9,1.63E+06,603.5,533.21,2317,,,,,,,,,
80.789,637.74,1500,-29.656,-0.75,0.93945,18849,13.583,90.785,1467.9,1.62E+06,603.06,532.85,2315,,,,,,,,,
8.27,642.3,1500,-29.656,-0.75,0.94037,18615,13.592,9.136,1476.1,1.61E+06,604.31,534.58,2303.9,,,,,,,,,
79.136,647.28,1500,-29.656,-0.7275,0.93957,18756,13.586,91.688,1499.6,1.62E+06,603.43,533.74,2307.9,,,,,,,,,
79.017,651.46,1500,-29.656,-0.39636,0.94038,18555,13.594,92.081,1518.6,1.62E+06,603.83,534.35,2300.9,,,,,,,,,
85.139,655.73,1500,-29.656,0.00246,0.94028,18505,13.601,92.965,1506.5,1.63E+06,606.95,538.13,2286.5,,,,,,,,,
81.858,660.16,1500.1,-29.656,0.39797,0.9398,18579,13.598,93.233,1533.1,1.64E+06,606.16,537.28,2289.3,,,,,,,,,
78.595,665.23,1500,-29.656,0.79617,0.93997,18517,13.6,93.534,1565.2,1.63E+06,605.39,536.51,2289.1,,,,,,,,,
76.851,669.22,1500,-29.656,11.898,0.94144,18191,13.611,9.377,1595.6,1.61E+06,605.07,536.27,2282.5,,,,,,,,,
8.259,675.54,1500,-29.656,16.004,0.941,18197,13.617,94.876,1587,1.63E+06,608.29,540.23,2268.3,,,,,,,,,
80.397,680.13,1500,-29.656,20.072,0.94,18367,13.612,95.257,1606.7,1.65E+06,608,539.95,2271,,,,,,,,,
79.628,685.27,1500.1,-29.656,23.974,0.94024,18278,13.616,95.752,1628.1,1.65E+06,608.31,540.46,2266.2,,,,,,,,,
78.189,689.77,1500,-29.656,27.956,0.93989,18315,13.616,96.147,1647.7,1.66E+06,608.29,540.52,2265.4,,,,,,,,,
76.095,694.42,1500,-29.656,31.986,0.93967,18329,13.616,9.651,1671.5,1.66E+06,608.02,540.29,2265,,,,,,,,,
75.472,699.06,1500.1,-29.656,35.963,0.93916,18393,13.615,96.995,1686.7,1.67E+06,608.38,540.8,2263.2,,,,,,,,,
81.127,704.66,1500,-29.656,40.022,0.93873,18400,13.62,98.033,1674.5,1.70E+06,611.48,544.57,2250.1,,,,,,,,,
82.791,708.99,1500,-29.656,43.837,0.94023,18053,13.634,98.559,1689.3,1.68E+06,612.65,546.09,2237.8,,,,,,,,,
81.848,715.35,1500,-29.656,4.799,0.94016,18017,13.636,99.195,1712,1.69E+06,613.06,546.73,2233.4,,,,,,,,,
8.06,719.18,1500,-29.656,52.034,0.93949,18123,13.634,99.552,1726.6,1.70E+06,613.08,546.78,2234.1,,,,,,,,,
79.051,724.22,1500.1,-29.656,56.059,0.93971,18045,13.637,99.983,1750.7,1.70E+06,613.06,546.88,2230.9,,,,,,,,,
84.492,729.93,1500,-29.656,60.109,0.93851,18207,13.637,10.108,1733.3,1.74E+06,616.16,550.61,2221.4,,,,,,,,,
77.707,733.01,1500,-29.656,64.088,0.93904,18111,13.638,10.088,1780.3,1.72E+06,613.67,547.73,2227.1,,,,,,,,,
81.911,738.01,1500.1,-29.656,68.089,0.94065,17728,13.655,10.167,1783.6,1.70E+06,616,550.62,2210,,,,,,,,,
81.112,743.22,1500.1,-29.656,7.197,0.94076,17668,13.658,10.218,1803,1.71E+06,616.32,551.12,2206,,,,,,,,,
76.216,746.32,1500.1,-29.656,75.848,0.9393,17958,13.648,10.222,1828.9,1.72E+06,614.76,549.26,2216,,,,,,,,,
83.088,752.88,1500,-29.656,79.778,0.9403,17675,13.663,10.342,1817.2,1.73E+06,618.43,553.77,2195.9,,,,,,,,,
84.608,757.7,1500.1,-29.656,83.848,0.94007,17676,13.666,10.409,1821.4,1.75E+06,619.72,555.37,2190.1,,,,,,,,,
77.866,761.44,1500,-29.656,87.816,0.93958,17779,13.66,10.401,1863.7,1.74E+06,617.4,552.67,2198.6,,,,,,,,,
77.373,767,1500,-29.656,91.906,0.93994,17671,13.666,10.457,1883.2,1.74E+06,617.88,553.36,2193.1,,,,,,,,,
80.629,771.73,1500,-29.656,95.882,0.94016,17580,13.673,10.534,1879.9,1.75E+06,619.87,555.79,2183.3,,,,,,,,,
79.822,776.96,1500,-29.656,99.876,0.93933,17718,13.67,10.591,1892.1,1.77E+06,620.26,556.32,2183,,,,,,,,,
80.197,781.38,1500.1,-29.656,10.384,0.94009,17535,13.678,10.639,1906.4,1.77E+06,620.96,557.24,2175.9,,,,,,,,,
79.205,785.91,1500.1,-29.656,10.783,0.94027,17477,13.682,10.681,1924.3,1.77E+06,621.13,557.52,2172.8,,,,,,,,,
77.962,790.77,1500,-29.656,11.185,0.94053,17403,13.686,10.724,1944.7,1.77E+06,621.22,557.71,2169.6,,,,,,,,,
86.296,796.97,1500.1,-29.656,11.586,0.93958,17532,13.689,10.864,1908.4,1.81E+06,625.62,562.98,2156.8,,,,,,,,,
84.319,802.59,1500,-29.656,11.996,0.93974,17484,13.692,10.911,1932.3,1.81E+06,625.5,562.95,2154.5,,,,,,,,,
82.652,807.49,1500,-29.656,12.401,0.94024,17369,13.697,10.95,1955.4,1.81E+06,625.42,562.96,2151,,,,,,,,,
85.089,812.19,1500.1,-29.656,12.8,0.94073,17244,13.706,11.02,1956,1.81E+06,627.05,564.97,2142.6,,,,,,,,,
77.195,816.24,1500,-29.656,13.194,0.94139,17120,13.707,10.999,2012.6,1.79E+06,624.2,561.69,2147.1,,,,,,,,,
80.717,822.18,1500.1,-29.656,13.587,0.94117,17137,13.712,11.096,2003.5,1.81E+06,626.5,564.5,2139,,,,,,,,,
8.41,828.75,1500,-29.656,13.975,0.94015,17326,13.711,11.202,1990.5,1.85E+06,628.83,567.35,2134.5,,,,,,,,,
77.002,831.35,1500.1,-29.656,14.384,0.93997,17379,13.707,11.175,2034.5,1.83E+06,626.21,564.26,2141.5,,,,,,,,,
8.069,837.68,1500,-29.656,14.796,0.94043,17264,13.716,11.273,2028.5,1.85E+06,628.56,567.17,2131.4,,,,,,,,,
84.496,843.59,1500,-29.656,15.181,0.94021,17298,13.721,11.372,2016,1.87E+06,630.97,570.11,2124.5,,,,,,,,,
8.166,847.84,1500,-29.656,15.579,0.93977,17395,13.719,11.4,2036.2,1.88E+06,630.37,569.44,2126.5,,,,,,,,,
74.672,850.94,1500,-29.656,15.985,0.94084,17181,13.724,11.372,2090,1.84E+06,627.77,566.44,2127.8,,,,,,,,,
79.927,857.3,1500.1,-29.656,16.388,0.94034,17279,13.728,11.489,2065.6,1.88E+06,630.87,570.19,2120.6,,,,,,,,,
81.731,862.66,1500,-29.656,16.783,0.93977,17403,13.729,11.568,2058.9,1.90E+06,632.37,572.03,2118.3,,,,,,,,,
83.892,866.34,1500.1,-29.656,17.185,0.94041,17263,13.737,11.623,2056.9,1.90E+06,633.76,573.71,2112.4,,,,,,,,,
8.337,872.16,1499.9,-29.656,17.584,0.93979,17408,13.736,11.687,2062.7,1.92E+06,634.33,574.46,2112.8,,,,,,,,,
76.928,876.31,1500,-29.656,17.986,0.9404,17292,13.739,11.679,2110.9,1.90E+06,632.13,571.96,2113.3,,,,,,,,,
79.124,882.93,1500,-29.656,18.388,0.94096,17182,13.748,11.769,2109.8,1.91E+06,633.9,574.18,2106.7,,,,,,,,,
83.117,888.95,1500,-29.656,18.792,0.93987,17429,13.747,11.876,2083.8,1.95E+06,636.46,577.27,2106.4,,,,,,,,,
82.123,893.22,1500,-29.656,19.197,0.94027,17352,13.752,11.913,2097.4,1.95E+06,636.58,577.47,2104.2,,,,,,,,,
83.985,898.49,1500,-29.656,19.591,0.94111,17181,13.762,11.983,2098,1.95E+06,638.03,579.29,2098.7,,,,,,,,,
76.649,903.32,1500,-29.656,19.988,0.94036,17369,13.755,11.983,2140.8,1.95E+06,635.61,576.49,2103.7,,,,,,,,,
78.221,908.71,1500.1,-29.656,20.373,0.94061,17329,13.761,12.056,2137.5,1.96E+06,636.99,578.21,2100.7,,,,,,,,,
85.508,914.85,1500.1,-29.656,20.785,0.94009,17455,13.766,12.189,2093.5,2.00E+06,640.93,582.94,2100.4,,,,,,,,,
84.558,918.64,1500.1,-29.656,21.193,0.94115,17233,13.776,12.217,2110.9,1.98E+06,640.98,583.06,2096.2,,,,,,,,,
77.854,923.52,1500,-29.656,21.595,0.94057,17385,13.77,12.221,2150,1.98E+06,638.82,580.57,2099.1,,,,,,,,,
7.779,928.51,1500,-29.656,22.002,0.94137,17225,13.779,12.272,2160.3,1.98E+06,639.42,581.38,2095.6,,,,,,,,,
80.602,935.91,1500,-29.656,22.402,0.9408,17377,13.781,12.383,2141.9,2.01E+06,641.61,584.09,2098.1,,,,,,,,,
86.517,940.17,1500,-29.656,22.794,0.94046,17460,13.786,12.483,2106,2.04E+06,644.72,587.79,2102,,,,,,,,,
80.163,944.33,1500,-29.656,23.205,0.94129,17297,13.79,12.473,2153.1,2.01E+06,642.55,585.3,2097.4,,,,,,,,,
80.227,949.64,1500,-29.656,23.602,0.94064,17461,13.789,12.538,2149.3,2.04E+06,643.32,586.28,2101.5,,,,,,,,,
80.937,956.16,1500.1,-29.656,24.005,0.94042,17534,13.791,12.621,2145.9,2.06E+06,644.51,587.79,2104.5,,,,,,,,,
80.661,959.27,1500,-29.656,24.408,0.94024,17582,13.793,12.654,2147.4,2.06E+06,644.83,588.17,2106.7,,,,,,,,,
80.749,964.5,1500.1,-29.656,24.808,0.94047,17550,13.798,12.714,2151,2.07E+06,645.57,589.12,2107.8,,,,,,,,,
80.038,970.13,1500,-29.656,25.201,0.94063,17536,13.802,12.772,2158.9,2.07E+06,646,589.73,2109.2,,,,,,,,,
79.893,975.23,1500,-29.656,25.608,0.94032,17624,13.803,12.832,2159,2.09E+06,646.64,590.55,2113.3,,,,,,,,,
80.935,979.82,1500,-29.656,26.01,0.93977,17761,13.803,12.897,2150.1,2.11E+06,647.73,591.87,2119.7,,,,,,,,,
78.963,983.64,1500.1,-29.656,26.406,0.94149,17391,13.816,12.914,2178.4,2.07E+06,647.33,591.48,2112.3,,,,,,,,,
84.375,989,1500.1,-29.656,26.785,0.94073,17573,13.818,13.029,2144.1,2.12E+06,650.39,595.15,2125.6,,,,,,,,,
83.228,992.26,1500,-29.656,27.182,0.9406,17611,13.819,13.057,2150.8,2.12E+06,650.36,595.12,2127.9,,,,,,,,,
80.257,997.37,1500,-29.656,27.596,0.93944,17892,13.812,13.099,2158.8,2.14E+06,649.85,594.56,2134.4,,,,,,,,,
8.002,1004.8,1500.1,-29.656,27.996,0.94181,17391,13.832,13.17,2185.2,2.11E+06,650.6,595.66,2128.1,,,,,,,,,
79.637,1008.5,1500.1,-29.656,28.385,0.94133,17509,13.831,13.213,2184.8,2.13E+06,650.97,596.12,2133.7,,,,,,,,,
79.426,1013,1500,-29.656,28.79,0.94133,17522,13.834,13.265,2188.4,2.13E+06,651.49,596.78,2138,,,,,,,,,
85.599,1020.9,1500.1,-29.656,29.2,0.94025,17785,13.836,13.426,2152.9,2.19E+06,655.22,601.3,2161.2,,,,,,,,,
80.211,1023.4,1500,-29.656,29.605,0.94067,17701,13.837,13.402,2184.7,2.17E+06,653.26,598.99,2153.7,,,,,,,,,
79.309,1027.6,1500.1,-29.656,30.003,0.94086,17672,13.841,13.444,2193.5,2.17E+06,653.45,599.27,2156.2,,,,,,,,,
81.007,1033.5,1500,-29.656,30.408,0.94098,17662,13.846,13.531,2190.3,2.18E+06,654.94,601.12,2165.1,,,,,,,,,
83.351,1037.1,1500.1,-29.656,30.808,0.94223,17392,13.859,13.591,2193.1,2.17E+06,656.37,602.86,2167,,,,,,,,,
83.158,1042.3,1499.9,-29.656,31.198,0.94072,17743,13.852,13.663,2184.7,2.21E+06,657.05,603.7,2181.8,,,,,,,,,
83.222,1046.3,1500.1,-29.656,31.611,0.94125,17634,13.859,13.712,2192.4,2.20E+06,657.62,604.42,2184.4,,,,,,,,,
86.042,1049.8,1500,-29.656,31.992,0.93956,18016,13.852,13.798,2168.2,2.25E+06,659.4,606.5,2204.5,,,,,,,,,
80.431,1051.5,1500,-29.656,32.398,0.94096,17712,13.86,13.751,2206.8,2.20E+06,657.19,603.89,2189.3,,,,,,,,,
78.238,1053.5,1500,-29.656,32.813,0.94142,17613,13.864,13.751,2222.6,2.18E+06,656.53,603.1,2186.1,,,,,,,,,
83.003,1055.1,1500,-29.656,33.193,0.94119,17656,13.868,13.822,2200.7,2.19E+06,658.81,605.74,2198.9,,,,,,,,,
87.115,1059.7,1500.1,-29.656,33.596,0.9407,17772,13.871,13.93,2183.1,2.23E+06,661.23,608.62,2215.3,,,,,,,,,
81.683,1060.2,1499.9,-29.656,33.994,0.94146,17605,13.874,13.871,2213.5,2.18E+06,658.95,605.89,2203.1,,,,,,,,,
78.615,1056.7,1500,-29.656,34.393,0.94002,17907,13.863,13.804,2211.3,2.18E+06,657.35,603.75,2203.5,,,,,,,,,
76.411,1052.7,1500,-29.656,34.799,0.94044,17790,13.865,13.726,2221.8,2.13E+06,655.93,601.86,2193.9,,,,,,,,,
79.971,1045.2,1500,-29.656,34.999,0.94134,17546,13.872,13.66,2207.6,2.09E+06,656.47,602.22,2187.5,,,,,,,,,
83.168,1042,1500,-29.656,35,0.94073,17662,13.87,13.655,2185.1,2.11E+06,657.46,603.26,2193.1,,,,,,,,,
79.256,1041.5,1500,-29.656,35,0.94095,17615,13.868,13.608,2204.5,2.09E+06,655.72,601.2,2184.7,,,,,,,,,
80.629,1041.7,1500,-29.656,35,0.94121,17557,13.871,13.623,2200.7,2.09E+06,656.32,601.92,2185.7,,,,,,,,,
81.172,1040.8,1500,-29.656,35,0.94089,17624,13.869,13.619,2194.6,2.09E+06,656.45,602.04,2187.6,,,,,,,,,
82.837,1040.5,1500,-29.656,35,0.94127,17536,13.873,13.629,2190.2,2.09E+06,657.11,602.81,2187.9,,,,,,,,,
80.649,1040.6,1499.9,-29.656,35,0.94068,17670,13.867,13.612,2195,2.09E+06,656.21,601.74,2187.8,,,,,,,,,
78.356,1041.1,1500,-29.656,34.98,0.94092,17622,13.867,13.595,2208.2,2.08E+06,655.3,600.7,2182.9,,,,,,,,,
8.229,1042,1500,-29.656,34.678,0.94062,17694,13.867,13.648,2188.1,2.11E+06,657.06,602.86,2191.4,,,,,,,,,
83.317,1049.7,1500.1,-29.656,34.283,0.94161,17516,13.875,13.752,2198.5,2.14E+06,658.38,604.8,2194.2,,,,,,,,,
8.831,1055.1,1500,-29.656,33.921,0.94099,17678,13.874,13.878,2176.4,2.20E+06,661.16,608.32,2211.2,,,,,,,,,
88.886,1053.1,1500,-29.656,33.56,0.94122,17624,13.874,13.856,2174,2.20E+06,661.09,608.26,2207.5,,,,,,,,,
87.979,1048.1,1499.9,-29.656,33.18,0.94032,17811,13.864,13.788,2165.3,2.20E+06,660.09,606.98,2204.9,,,,,,,,,
89.656,1040.8,1499.9,-29.656,32.81,0.94016,17817,13.86,13.712,2150.2,2.20E+06,659.84,606.53,2199.6,,,,,,,,,
93.636,1032.5,1499.9,-29.429,32.427,0.94103,17593,13.864,13.64,2133.2,2.17E+06,660.26,606.92,2188.9,,,,,,,,,
98.219,1024.8,1499.9,-29.057,32.05,0.94026,17738,13.857,13.591,2100,2.18E+06,660.99,607.7,2188.3,,,,,,,,,
99.473,1015.6,1499.9,-28.682,31.681,0.94077,17596,13.857,13.482,2091,2.14E+06,660.06,606.51,2173.6,,,,,,,,,
10.453,1010,1499.9,-28.309,31.309,0.94053,17632,13.854,13.461,2062.2,2.15E+06,661.23,607.88,2172.5,,,,,,,,,
10.853,998.99,1499.9,-27.927,30.927,0.94105,17476,13.855,13.358,2040,2.12E+06,661.24,607.74,2160.4,,,,,,,,,
11.366,991.31,1499.9,-27.559,30.556,0.94132,17388,13.856,13.309,2013.7,2.10E+06,662.16,608.75,2154.4,,,,,,,,,
11.872,985.37,1499.9,-27.182,30.166,0.94156,17315,13.857,13.281,1989.1,2.10E+06,663.27,610.06,2149.7,,,,,,,,,
11.908,976.35,1499.8,-26.802,29.791,0.94045,17531,13.844,13.178,1970.5,2.10E+06,662.05,608.48,2145,,,,,,,,,
11.989,967.79,1499.9,-26.426,29.41,0.93993,17619,13.836,13.083,1955.5,2.08E+06,661.08,607.24,2137.9,,,,,,,,,
12.644,959.78,1499.9,-26.025,29.025,0.94106,17338,13.843,13.037,1930.1,2.06E+06,662.49,608.85,2128.3,,,,,,,,,
13.014,953.49,1500,-25.666,28.65,0.94031,17481,13.837,12.999,1902.9,2.07E+06,663.05,609.47,2127.8,,,,,,,,,
13.141,945.85,1499.9,-25.284,28.275,0.94091,17328,13.837,12.912,1895.7,2.04E+06,662.3,608.54,2116.4,,,,,,,,,
13.479,940.05,1500,-24.907,27.9,0.94017,17471,13.83,12.877,1870.4,2.04E+06,662.78,609.07,2115.8,,,,,,,,,
13.976,933.39,1499.9,-24.562,27.539,0.94085,17297,13.834,12.836,1849.2,2.03E+06,663.74,610.18,2108.5,,,,,,,,,
14.385,924.78,1500,-24.179,27.166,0.94047,17345,13.829,12.77,1821.6,2.02E+06,664.15,610.55,2104.6,,,,,,,,,
15.147,915.22,1499.9,-23.791,26.791,0.9407,17250,13.831,12.72,1784.1,2.01E+06,665.86,612.44,2099.2,,,,,,,,,
15.026,906.08,1499.9,-23.426,26.416,0.94052,17263,13.823,12.599,1778.6,1.99E+06,663.95,610.05,2090.8,,,,,,,,,
15.148,896.58,1499.9,-23.057,26.048,0.94046,17243,13.818,12.496,1764.1,1.97E+06,663.01,608.8,2083.6,,,,,,,,,
15.913,893.81,1500,-22.681,25.666,0.93946,17449,13.814,12.535,1723.3,2.00E+06,665.68,612.02,2088.5,,,,,,,,,
16.55,886.92,1500,-22.294,25.291,0.94061,17170,13.822,12.5,1700.3,1.98E+06,667.17,613.76,2078.3,,,,,,,,,
16.827,879.6,1499.9,-21.916,24.916,0.93925,17440,13.81,12.444,1672.2,1.99E+06,667.22,613.71,2080.3,,,,,,,,,
16.699,868.9,1500,-21.548,24.541,0.94015,17213,13.809,12.299,1672,1.94E+06,665.02,610.97,2067,,,,,,,,,
17.437,863.16,1499.9,-21.171,24.166,0.94063,17085,13.814,12.289,1641.3,1.94E+06,667.11,613.43,2061.4,,,,,,,,,
18.405,855.51,1500,-20.792,23.791,0.94037,17101,13.815,12.282,1596.4,1.95E+06,670.01,616.75,2058.8,,,,,,,,,
19.167,852.2,1499.9,-20.416,23.416,0.94031,17100,13.816,12.308,1565.7,1.97E+06,672.54,619.8,2055.9,,,,,,,,,
19.304,845.25,1500.1,-20.041,23.041,0.93993,17164,13.81,12.238,1549.8,1.96E+06,672.01,619.11,2052.5,,,,,,,,,
18.943,840.22,1499.9,-19.669,22.669,0.94011,17128,13.804,12.144,1556,1.93E+06,669.55,616.23,2046.8,,,,,,,,,
19.03,828.83,1500,-19.287,22.287,0.93973,17175,13.797,12.017,1536.2,1.91E+06,668.26,614.48,2042.5,,,,,,,,,
20.313,823.62,1500,-18.906,21.906,0.94006,17069,13.804,12.06,1490,1.93E+06,672.74,619.76,2036.1,,,,,,,,,
21.29,817.19,1500,-18.541,21.541,0.93987,17077,13.806,12.066,1450.4,1.94E+06,675.82,623.33,2031.2,,,,,,,,,
21.363,808.45,1500,-18.163,21.163,0.93945,17146,13.799,11.968,1433.5,1.93E+06,674.79,621.98,2028.5,,,,,,,,,
21.26,800.6,1499.8,-17.801,20.801,0.93996,17029,13.797,11.861,1428.2,1.90E+06,673.06,619.85,2021.8,,,,,,,,,
22.202,794.95,1500,-17.42,20.42,0.94072,16844,13.805,11.867,1397.4,1.89E+06,676.06,623.38,2010.9,,,,,,,,,
22.748,788.16,1500,-17.059,20.059,0.94013,16945,13.801,11.833,1368.7,1.90E+06,677.29,624.74,2008.5,,,,,,,,,
23.206,782.27,1500,-16.685,19.685,0.94127,16694,13.808,11.793,1353.9,1.88E+06,678.16,625.77,1996.5,,,,,,,,,
23.929,775.61,1499.9,-16.299,19.299,0.93957,17024,13.797,11.782,1315,1.91E+06,680.21,628.06,1998.9,,,,,,,,,
24.155,769.82,1500,-15.933,18.933,0.94066,16792,13.802,11.723,1306,1.89E+06,680.13,627.97,1988.4,,,,,,,,,
24.454,756.92,1500,-15.549,18.549,0.94101,16705,13.801,11.589,1280.7,1.86E+06,679.52,626.95,1980.9,,,,,,,,,
25.583,755.5,1499.9,-15.181,18.181,0.94008,16867,13.8,11.669,1246.3,1.90E+06,683.88,632.17,1975.6,,,,,,,,,
25.813,746.52,1499.9,-14.81,17.81,0.94035,16805,13.799,11.576,1228.1,1.88E+06,683.48,631.54,1969.4,,,,,,,,,
25.916,739.93,1499.8,-14.435,17.435,0.94017,16846,13.794,11.504,1213,1.87E+06,682.83,630.69,1967.6,,,,,,,,,
26.81,731.86,1500,-14.049,17.049,0.94095,16666,13.802,11.474,1185.1,1.86E+06,685.32,633.51,1952.4,,,,,,,,,
27.467,724.24,1500.1,-13.676,16.676,0.94161,16521,13.807,11.431,1162.5,1.85E+06,686.87,635.22,1939.6,,,,,,,,,
27.444,715.94,1499.9,-13.31,16.31,0.93933,16993,13.787,11.339,1135.9,1.87E+06,685.62,633.52,1951.9,,,,,,,,,
28.434,704.62,1499.9,-12.927,15.927,0.93927,16986,13.789,11.281,1098.6,1.87E+06,688.18,636.22,1939.4,,,,,,,,,
28.555,697.3,1499.8,-12.53,15.53,0.9407,16722,13.795,11.19,1088.4,1.83E+06,687.41,635.24,1929,,,,,,,,,
29.416,671.78,1499.8,-12.151,15.151,0.93926,17051,13.785,10.955,1022.1,1.82E+06,687.85,634.75,1927,,,,,,,,,
31.211,661.88,1500.1,-12,15,0.94113,16643,13.809,10.971,990.61,1.80E+06,694.09,641.73,1888.5,,,,,,,,,
30.224,674.87,1500,-12,15,0.93962,16929,13.793,11.057,1017.9,1.84E+06,691.51,639.27,1911.9,,,,,,,,,
30.77,658.94,1500,-12,15,0.94058,16786,13.801,10.9,987.25,1.80E+06,691.9,639.02,1899.8,,,,,,,,,
30.935,671.35,1500,-12,15,0.94053,16729,13.805,11.068,1007.7,1.83E+06,694.05,642.11,1895.5,,,,,,,,,
29.989,668.65,1499.9,-12,15,0.94011,16873,13.793,10.958,1011.6,1.81E+06,689.75,636.93,1913.7,,,,,,,,,
30.948,662.73,1500,-12,15,0.94088,16701,13.805,10.96,993.73,1.80E+06,693.08,640.58,1894.4,,,,,,,,,
30.901,667.62,1500.1,-12,15,0.94086,16684,13.806,11.018,1003,1.81E+06,693.47,641.27,1894.5,,,,,,,,,
30.146,672.38,1499.9,-11.977,15.023,0.94054,16765,13.798,11.014,1018.4,1.81E+06,690.81,638.37,1908.1,,,,,,,,,
30.444,670.64,1500,-11.73,15.27,0.941,16666,13.804,11.015,1013.4,1.80E+06,691.74,639.38,1899.6,,,,,,,,,
30.179,687.48,1500.1,-11.465,15.535,0.94398,16048,13.825,11.184,1059.2,1.78E+06,692.3,640.89,1883,,,,,,,,,
29.4,690.06,1500,-11.225,15.801,0.94547,15794,13.83,11.14,1080.2,1.74E+06,689.07,637.27,1885.3,,,,,,,,,
29.835,700.11,1500.1,-10.936,16.065,0.9466,15529,13.843,11.295,1096.8,1.74E+06,691.91,641.06,1869.3,,,,,,,,,
29.034,711.2,1500.2,-10.663,16.337,0.94956,14985,13.859,11.346,1140.7,1.70E+06,689.54,638.85,1862.1,,,,,,,,,
28.231,720.31,1500.1,-10.397,16.603,0.9513,14678,13.866,11.378,1176.1,1.67E+06,686.98,636.29,1862,,,,,,,,,
27.698,728.73,1500,-10.129,16.876,0.95366,14250,13.88,11.42,1210.2,1.63E+06,685.45,634.92,1854.1,,,,,,,,,
27.42,732.65,1500,-98.588,17.143,0.95629,13778,13.896,11.428,1234.1,1.59E+06,684.44,633.98,1841.6,,,,,,,,,
26.678,737.8,1500,-95.962,17.404,0.95808,13477,13.904,11.417,1262.9,1.56E+06,681.69,631.03,1840,,,,,,,,,
26.492,742.92,1500,-93.245,17.676,0.96038,13069,13.919,11.449,1286.3,1.52E+06,681.25,630.78,1828.2,,,,,,,,,
26.339,747.1,1500.1,-90.525,17.948,0.96222,12745,13.932,11.475,1305.3,1.50E+06,680.86,630.55,1818.4,,,,,,,,,
25.859,748.6,1500,-87.865,18.213,0.96468,12338,13.944,11.437,1326.6,1.45E+06,678.72,628.17,1810.5,,,,,,,,,
25.244,756.46,1500.1,-85.209,18.479,0.96796,11787,13.964,11.46,1366.9,1.41E+06,676.75,626.28,1798.9,,,,,,,,,
24.986,763.08,1500,-82.502,18.75,0.97019,11410,13.979,11.503,1394.9,1.38E+06,676.19,625.94,1788.4,,,,,,,,,
24.984,766.05,1500,-79.959,19.004,0.9714,11202,13.988,11.53,1406.7,1.36E+06,676.33,626.27,1780.5,,,,,,,,,
24.444,772.53,1499.9,-77.332,19.267,0.97307,10930,13.999,11.551,1436.1,1.34E+06,674.59,624.54,1776.8,,,,,,,,,
23.691,774.87,1500.1,-74.644,19.536,0.97693,10321,14.019,11.493,1469.7,1.28E+06,671.35,620.95,1765.9,,,,,,,,,
23.578,783.34,1500.1,-71.988,19.801,0.97883,9999.6,14.035,11.571,1499.6,1.26E+06,671.65,621.69,1754.8,,,,,,,,,
23.406,788.66,1500,-69.275,20.072,0.98162,9552.4,14.055,11.601,1527.1,1.23E+06,671.26,621.51,1741.1,,,,,,,,,
23.088,792.98,1500,-66.664,20.334,0.98325,9293,14.066,11.615,1549.2,1.21E+06,670.22,620.5,1735.4,,,,,,,,,
22.523,794.14,1500,-63.908,20.609,0.98583,8898.7,14.078,11.564,1571.7,1.17E+06,667.67,617.65,1729.7,,,,,,,,,
22.739,800.79,1500.1,-61.362,20.864,0.98884,8427.7,14.1,11.642,1598.3,1.14E+06,669.12,619.68,1709.4,,,,,,,,,
22.362,807.22,1500,-58.687,21.131,0.99084,8116.8,14.112,11.672,1629,1.12E+06,668.04,618.72,1702.7,,,,,,,,,
21.266,808.99,1500,-5.604,21.396,0.99471,7551.8,14.122,11.576,1668.2,1.06E+06,663.25,613.31,1700.6,,,,,,,,,
21.313,814.82,1500,-53.383,21.662,0.99807,7076.7,14.132,11.626,1697.4,1.03E+06,663.83,614.31,1682.9,,,,,,,,,
21.509,820.84,1500,-50.655,21.935,10.011,6673.4,14.138,11.693,1723,1.00E+06,665.09,616.09,1664.2,,,,,,,,,
20.672,823.7,1500.1,-47.985,22.202,1.006,6085.2,14.123,11.625,1767.5,9.40E+05,661.47,612.13,1658.3,,,,,,,,,
20.406,831.32,1500,-45.217,22.478,10.062,6041.9,14.127,11.689,1794.8,9.41E+05,661.12,612,1657,,,,,,,,,
20.44,836.39,1500.1,-42.572,22.743,10.103,5605,14.109,11.725,1826.5,9.03E+05,661.52,612.79,1639.8,,,,,,,,,
19.524,840.33,1500,-39.978,23.002,10.121,5426.9,14.095,11.68,1867.9,8.77E+05,657.87,608.74,1647.2,,,,,,,,,
19.277,842.37,1500.1,-37.211,23.279,10.151,5161.5,14.074,11.663,1894.8,8.45E+05,656.76,607.61,1641.7,,,,,,,,,
