in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,,
50.097,188.17,1499.9,-29.31,-0.75,10.525,4408.4,13.633,60.441,170.78,5.58E+05,682.97,566.02,1074.4,,,,,,,,,
52.256,167.47,1499.9,-29.373,-0.75,10.567,4030.2,13.63,59.019,153.89,5.00E+05,687.59,573.01,953.76,,,,,,,,,
54.795,153.35,1500,-29.435,-0.75,10.556,3747,13.69,59.268,148.21,4.81E+05,697.21,586.77,799.32,,,,,,,,,
56.299,136.6,1499.8,-29.483,-0.75,10.564,3576.8,13.703,57.937,133.2,4.66E+05,700.7,590.5,751.54,,,,,,,,,
58.184,124.91,1500,-29.545,-0.75,10.607,3228.1,13.694,5.788,124.96,4.02E+05,710.48,600.79,672.12,,,,,,,,,
59.457,108.04,1499.8,-29.607,-0.75,10.597,3153.1,13.719,56.285,109.8,4.08E+05,715.8,602.79,654.6,,,,,,,,,
60.98,107.3,1500.1,-29.654,-0.75,10.598,2954.9,13.751,58.008,112.24,3.80E+05,728.82,616.2,576.56,,,,,,,,,
60.155,101.49,1499.9,-29.656,-0.75,1.064,2972.4,13.685,5.582,104.71,3.63E+05,720.55,605.7,639.61,,,,,,,,,
61.646,81.055,1499.8,-29.656,-0.75,1.063,2887.3,13.711,53.797,87.913,3.69E+05,729.55,608.02,626.44,,,,,,,,,
63.133,73.933,1500,-29.656,-0.75,10.632,2727.7,13.736,54.289,84.989,3.49E+05,742.25,618.05,575.19,,,,,,,,,
63.155,73,1500.1,-29.656,-0.75,10.656,2671.5,13.709,54.106,84.334,3.28E+05,742.57,617.87,578.54,,,,,,,,,
62.936,65.787,1500,-29.656,-0.75,10.658,2716.9,13.698,52.441,77.218,3.39E+05,739.22,611.75,611.21,,,,,,,,,
63.193,56.423,1499.8,-29.656,-0.75,10.692,2633.2,13.66,50.922,69.906,3.15E+05,740.38,609.07,630.2,,,,,,,,,
64.043,44.531,1500.1,-29.656,-0.75,10.688,2584.8,13.673,49.716,62.387,3.16E+05,746.58,610.46,624.74,,,,,,,,,
64.638,59.282,1500.1,-29.435,-0.75,10.683,2491.7,13.701,53.348,76.105,2.95E+05,754.57,624.55,552.76,,,,,,,,,
63.979,66.952,1500,-28.915,-0.75,10.711,2475,13.661,53.946,78.76,2.73E+05,749.81,622.51,564.33,,,,,,,,,
65.351,54.179,1499.9,-28.413,-0.75,10.779,2220.6,13.607,53.264,71.081,2.13E+05,761.34,628.87,545.38,,,,,,,,,
66.485,58.462,1500,-27.915,-0.75,10.727,2224.2,13.685,55.895,79.082,2.29E+05,772.17,642.01,482.09,,,,,,,,,
66.931,61.167,1500.2,-27.4,-0.75,10.778,2076,13.639,57.206,82.922,1.85E+05,777.16,647.81,461.3,,,,,,,,,
67.235,63.088,1500,-26.881,-0.75,10.798,2007.2,13.623,58.174,85.136,1.65E+05,780.4,651.68,446.82,,,,,,,,,
67.782,62.037,1500,-26.377,-0.75,10.829,1905.9,13.599,59.002,86.273,1.41E+05,785.54,656.35,431.14,,,,,,,,,
68.548,60.659,1500,-25.866,-0.75,10.794,1919.1,13.648,60.185,89.541,1.52E+05,792.15,662.93,404.17,,,,,,,,,
69.233,62.059,1499.9,-25.368,-0.75,10.804,1845.7,13.65,61.935,96.021,1.37E+05,798.68,670.14,377.24,,,,,,,,,
69.818,59.362,1499.9,-24.847,-0.75,10.831,1760.9,13.629,62.737,96.66,1.17E+05,803.87,674.33,365.34,,,,,,,,,
70.409,59.429,1500,-24.325,-0.63641,10.809,1752.3,13.662,64.066,102.14,1.21E+05,809.13,679.99,343.79,,,,,,,,,
70.862,55.764,1500.1,-23.819,-0.38734,1.086,1644.1,13.613,64.472,100.82,93445,813.03,682.46,339.98,,,,,,,,,
71.262,57.118,1500.1,-23.293,-0.14489,10.876,1588.3,13.603,6.58,106.05,81698,816.83,686.84,324.94,,,,,,,,,
71.806,50.683,1500,-22.762,0.11327,10.898,1526.8,13.585,65.797,102.47,70397,821.07,688.91,322.54,,,,,,,,,
72.497,48.042,1499.9,-22.257,0.36342,10.909,1468.8,13.583,66.966,106.7,61616,827,694.22,306.68,,,,,,,,,
73.188,41.504,1499.9,-21.742,0.60202,1.093,1401,13.568,67.324,105.22,51075,832.61,697.71,299.81,,,,,,,,,
73.71,37.763,1500,-21.228,0.84772,1.094,1360.3,13.564,67.853,105.71,45345,836.95,700.9,291.92,,,,,,,,,
74.117,32.189,1499.9,-20.725,10.928,10.977,1287.2,13.529,67.756,101,33407,840.2,702.06,292.92,,,,,,,,,
74.809,26.482,1499.9,-20.226,13.374,10.994,1229.6,13.519,68.249,101.13,26682,845.96,706.01,284.15,,,,,,,,,
75.413,23.63,1500,-19.713,15.829,10.996,1197.6,13.525,69.149,104.73,23723,851.14,710.44,271.85,,,,,,,,,
76.059,20.523,1500,-19.23,18.321,11.011,1144.5,13.518,70.139,108.62,18196,856.73,715.13,259.7,,,,,,,,,
76.783,13.594,1500,-18.723,2.067,11.042,1069.8,13.493,70.447,107.19,11108,862.81,718.82,253.57,,,,,,,,,
77.189,13.885,1499.9,-17.995,24.176,1.104,1054.8,13.502,71.608,112.37,9868.3,866.45,722.67,241.76,,,,,,,,,
77.697,19.966,1500.1,-17.181,28.137,11.047,1011.8,13.506,74.517,129.09,6312.3,871.56,729.98,217.73,,,,,,,,,
77.801,18.82,1500,-16.371,32.043,11.036,1027.1,13.518,74.487,126.44,7269.2,872.32,730.24,216.8,,,,,,,,,
78.364,21.244,1500,-15.574,35.917,11.042,987.02,13.521,76.567,138.94,4609.4,877.6,736.39,198.73,,,,,,,,,
78.503,28.051,1500,-14.762,39.847,11.044,971.09,13.524,78.538,151.37,3261.3,879.38,740.36,184.63,,,,,,,,,
78.482,30.65,1500,-13.965,43.674,11.056,958.12,13.513,79.153,151.98,2052.1,879.44,740.97,181.82,,,,,,,,,
78.62,38.118,1500,-13.166,47.531,11.067,929.27,13.506,81.187,165.91,744.29,881.3,745.14,167.77,,,,,,,,,
78.692,47.168,1500.1,-12.371,51.381,1.105,937.98,13.53,83.187,183.72,933.81,882.6,749.43,152.23,,,,,,,,,
78.628,53.203,1500,-11.6,55.168,11.021,969.49,13.562,8.416,192.93,2158.1,882.4,751.19,144.13,,,,,,,,,
78.732,56.938,1500.1,-10.82,58.883,11.044,936.11,13.541,85.212,198.94,575.28,883.7,753.4,137.9,,,,,,,,,
78.673,63.05,1499.9,-10.639,59.698,11.041,935.39,13.546,86.205,210.25,527.79,883.65,755.36,130.81,,,,,,,,,
78.704,61.943,1500,-10.641,59.688,11.043,932.35,13.544,86.081,208.47,460.06,883.85,755.18,131.72,,,,,,,,,
78.344,64.739,1500,-10.641,59.688,11.038,954.87,13.545,85.815,205.56,831.93,880.89,753.06,135.21,,,,,,,,,
78.175,65.495,1500,-10.641,59.688,11.044,956.29,13.536,85.615,202.52,705.47,879.48,751.8,137.98,,,,,,,,,
77.994,63.034,1499.9,-10.641,59.688,11.036,979.01,13.54,84.752,192.88,1291,877.64,749.11,145.02,,,,,,,,,
78.756,59.714,1500,-10.641,59.688,11.036,940.09,13.551,85.765,205.22,722.57,884.11,754.75,133.36,,,,,,,,,
78.805,63.948,1500,-10.641,59.688,11.047,919.34,13.542,86.664,215.48,256.32,884.91,756.95,127.12,,,,,,,,,
78.599,62.919,1499.9,-10.599,6.037,11.055,923.25,13.53,86.056,207.35,192.36,883.01,754.58,133.05,,,,,,,,,
78.49,64.236,1499.9,-10.368,64.031,1.101,976.62,13.576,85.848,209.77,2115.6,881.87,754.2,131.55,,,,,,,,,
77.721,62.922,1500,-10.134,67.939,11.046,981.33,13.525,83.989,185.7,973.81,874.96,746.43,151.1,,,,,,,,,
78.246,59.25,1500,-99.543,71.936,11.014,992,13.565,84.221,193.24,2302.3,879.01,749.77,143.23,,,,,,,,,
78.314,67.893,1500.1,-9.772,75.999,10.982,1005.6,13.605,85.779,216.3,4116.2,880.09,754.11,128.3,,,,,,,,,
77.922,70.866,1500,-95.845,80.062,10.961,1043.9,13.622,8.532,214.27,6837.2,876.61,751.78,131.26,,,,,,,,,
77.503,82.392,1500.1,-94.107,84.124,10.941,1068.1,13.643,86.343,230.84,9034.1,873.74,752.87,123.37,,,,,,,,,
76.926,100.01,1500.2,-92.251,88.187,10.924,1090.9,13.661,87.992,257.57,10989,870.16,755.15,111.31,,,,,,,,,
76.167,122.29,1500.1,-90.415,92.162,10.874,1135.5,13.714,8.972,292.36,19391,865.42,757.89,96.705,,,,,,,,,
75.165,147.2,1500.2,-88.658,96.369,1.086,1175.7,13.726,91.236,327.03,24032,859.33,759.75,86.616,,,,,,,,,
73.659,184.52,1500.3,-86.825,10.036,10.843,1236,13.739,93.217,380.58,35371,851.02,763.03,76.079,,,,,,,,,
71.145,240.18,1500.4,-85.001,10.441,1.082,1351.3,13.752,95.585,456.3,75983,838.79,767.05,75.134,,,,,,,,,
65.65,319.52,1500.4,-8.322,10.85,10.816,1652.8,13.708,97.657,505.26,1.91E+05,817.85,760.84,123.74,,,,,,,,,
58.543,374.31,1500.3,-81.347,11.255,10.787,2154,13.65,9.587,457.73,2.72E+05,788.37,732.49,246.16,,,,,,,,,
51.892,428.54,1500.1,-79.614,11.653,1.075,2620.8,13.609,95.025,514.6,3.29E+05,762.98,704.27,442.99,,,,,,,,,
48.139,425.39,1499.9,-77.722,12.075,10.732,2900.9,13.568,89.676,493.2,3.21E+05,742.84,677.6,645.65,,,,,,,,,
48.005,422.7,1500,-75.982,12.47,1.074,2884.9,13.556,89.071,487.83,3.14E+05,741.67,675.88,655.18,,,,,,,,,
47.345,424.6,1500,-74.126,12.889,1.071,3015.6,13.579,88.628,489.88,3.28E+05,738.71,672.03,692.29,,,,,,,,,
46.132,439.17,1500.1,-72.356,13.293,10.689,3106.8,13.592,89.276,516.74,3.46E+05,734.9,668.87,741.19,,,,,,,,,
43.988,447.54,1500,-70.517,13.705,10.659,3266,13.597,88.022,522.81,3.61E+05,725.18,658.42,860.27,,,,,,,,,
42.772,456.02,1500.1,-68.595,14.112,10.617,3455.5,13.628,88.008,536.52,3.85E+05,720.21,653.99,932.22,,,,,,,,,
40.651,458.52,1500,-66.871,14.518,10.631,3417.8,13.596,86.146,527.32,3.75E+05,709.47,643.68,1061,,,,,,,,,
40.388,455.32,1500,-64.971,14.924,10.612,3532.6,13.609,85.612,519.68,3.84E+05,707.78,641.52,1086.4,,,,,,,,,
39.787,458.92,1500.1,-63.101,15.339,10.591,3634.6,13.623,8.563,526.81,3.95E+05,705.15,639.5,1127.1,,,,,,,,,
38.456,459.04,1500,-61.373,15.745,10.555,3856.7,13.64,84.773,522,4.14E+05,698.39,633.11,1224.5,,,,,,,,,
37.517,465.12,1500,-59.528,16.146,10.534,3965.1,13.653,84.891,535,4.28E+05,694.25,630.11,1284.3,,,,,,,,,
36.161,469.83,1500,-57.693,16.557,10.514,4084.6,13.661,84.597,545.72,4.40E+05,687.83,624.77,1367,,,,,,,,,
34.925,467.59,1500,-55.956,16.953,10.495,4234.5,13.664,83.656,543.06,4.50E+05,681.4,618.55,1442.2,,,,,,,,,
33.903,473.75,1499.9,-54.122,17.351,10.469,4381.1,13.679,83.809,563.87,4.66E+05,677.01,614.98,1494,,,,,,,,,
33.379,465.05,1500,-52.303,17.77,10.447,4580.8,13.681,82.646,546.57,4.81E+05,673.69,610.86,1531.9,,,,,,,,,
32.554,476.97,1500,-50.443,18.182,10.438,4586.6,13.692,83.458,584.94,4.86E+05,670.92,609.25,1556.7,,,,,,,,,
30.643,479.4,1500.1,-48.626,18.583,10.392,4905.5,13.709,82.714,615.02,5.11E+05,662.62,600.66,1633.9,,,,,,,,,
28.963,479.26,1500,-46.919,18.963,10.383,5006.3,13.706,81.608,647.93,5.13E+05,655.22,592.64,1682.3,,,,,,,,,
28.806,472.49,1500,-45.189,19.369,10.363,5190.4,13.709,80.833,631.7,5.30E+05,654.04,590.76,1697.8,,,,,,,,,
27.807,477.52,1500,-43.331,19.775,10.338,5354.7,13.721,80.812,664.49,5.43E+05,650.32,586.77,1723.5,,,,,,,,,
26.371,470.36,1500,-41.467,20.179,10.325,5529.5,13.714,7.908,678.82,5.50E+05,643.65,578.76,1762.4,,,,,,,,,
25.619,461.55,1500,-39.732,20.588,10.291,5849.9,13.719,77.705,667.07,5.80E+05,639.94,573.69,1794.3,,,,,,,,,
25.21,451.51,1499.9,-37.857,21.002,10.283,5983.9,13.711,7.629,649.65,5.95E+05,637.36,570.11,1812.3,,,,,,,,,
24.244,442.77,1500,-36.047,21.405,10.256,6272.4,13.712,74.709,644.29,6.26E+05,632.72,564,1845.1,,,,,,,,,
22.97,430.38,1499.9,-34.205,21.827,10.224,6641.4,13.71,7.245,635.13,6.72E+05,626.47,555.69,1887.9,,,,,,,,,
21.941,422.3,1500,-32.338,22.231,10.184,7055.8,13.716,70.861,629.01,7.31E+05,621.68,549.17,1925,,,,,,,,,
21.272,414.05,1499.9,-30.621,22.626,10.157,7360.8,13.715,69.401,618.09,7.80E+05,618.23,544.31,1951.9,,,,,,,,,
19.821,403.21,1499.9,-28.814,23.029,10.165,7411.4,13.695,66.904,626.25,7.83E+05,610.94,535.68,1983,,,,,,,,,
19.041,393.63,1500,-26.924,23.439,10.144,7690.8,13.69,65.088,615.44,8.29E+05,606.7,529.99,2011.4,,,,,,,,,
17.911,390.19,1499.9,-25.197,23.842,10.067,8474.8,13.702,63.985,616.45,9.55E+05,602.22,523.21,2058.5,,,,,,,,,
16.928,386,1499.9,-23.345,24.248,10.049,8716.6,13.696,62.716,625.3,9.91E+05,597.78,517.76,2084.2,,,,,,,,,
15.858,376.97,1499.9,-21.461,24.664,10.035,8955.5,13.684,60.673,624.98,1.03E+06,592.21,510.85,2114.9,,,,,,,,,
16.149,370.52,1500,-1.99,24.994,0.99881,9505.9,13.678,60.047,595.43,1.13E+06,592.72,509.76,2131.8,,,,,,,,,
15.113,366.39,1499.9,-18.773,25.123,1,9416.5,13.671,58.662,609.09,1.11E+06,587.69,504.49,2148.7,,,,,,,,,
15.929,364.86,1500,-1.764,25.236,10.003,9379.3,13.674,59.013,587.99,1.11E+06,590.68,507.72,2135.3,,,,,,,,,
16.99,360.06,1500,-16.545,25.346,10.039,9000.2,13.675,58.986,560.27,1.06E+06,593.77,511.7,2110.1,,,,,,,,,
17.61,357.84,1500,-15.403,25.46,10.041,8970.1,13.676,59.096,542.44,1.06E+06,595.81,513.81,2100.9,,,,,,,,,
18.482,355.14,1500,-14.262,25.574,1.007,8671.9,13.674,59.259,523.09,1.01E+06,598.58,517.29,2079.3,,,,,,,,,
