in1,in2,in3,in4,out1,out2,,,
-13.734,42.302,3000,599.9,2591.1,1953.8,,,
-14.624,41.928,3000,601.75,2605.5,1950.9,,,
-14.701,42.122,3000,602.4,2606.9,1951.4,,,
-15.007,41.97,3000,596.25,2597.8,1955.9,,,
-15.728,42.124,3000,600.81,2614.4,1953.9,,,
-16.613,42.091,3000,600.91,2624.8,1955.7,,,
-17.03,41.98,3000,601.6,2631.6,1956.1,,,
-17.404,41.996,3000,602.14,2637.2,1957.3,,,
-17.497,42.372,3000,595.86,2624.3,1963.1,,,
-18.897,41.986,3000,599.97,2652.1,1966.4,,,
-19.455,42.248,3000,600.68,2660.2,1970.7,,,
-19.475,42.389,3000,601.79,2662.2,1970.9,,,
-20.094,42.009,3000,601.69,2671,1974.6,,,
-21.046,42.647,3000,597.18,2670.5,1984.8,,,
-21.584,42.238,3000,598.09,2677.2,1987.6,,,
-21.623,42.341,3000,600.62,2682.1,1987.6,,,
-21.568,42.432,3000,600.68,2681.6,1987.4,,,
-21.742,42.372,3000,599.67,2680.6,1988.7,,,
-22.632,42.244,3000,598.21,2677.7,1994.4,,,
-23.482,42.5,3000,601.63,2675.6,1998.2,,,
-24.629,42.421,3000,601.17,2651.9,2000.7,,,
-24.971,41.98,3000,600.64,2644.7,1999.9,,,
-25.3,41.883,3000,600.79,2636.3,1999.5,,,
-25.569,42.082,3000,601.08,2627.2,1999.6,,,
-26.008,42.145,3000,595.9,2599.7,2000.8,,,
-26.913,42.622,3000,598.87,2572.2,1997.6,,,
-27.981,42.372,3000,600.81,2541.4,1989.2,,,
-28.469,42.371,3000,598.19,2517.8,1986.4,,,
-29.122,42.419,3000,597.99,2494.2,1979.7,,,
-28.871,42.243,3000,604.37,2520.1,1977.8,,,
-29.795,42.402,3000,599.45,2474.9,1969.5,,,
-30.554,42.391,3000,597.53,2444.7,1958.7,,,
-31.252,42.22,3000,597.64,2423.1,1944.7,,,
-31.101,42.506,3000,602.97,2439,1943,,,
-32.054,42.314,3000,598.63,2398.6,1925.6,,,
-32.063,42.439,3000,596.68,2392.7,1927.8,,,
-32.93,42.519,3000,601.2,2375.1,1900.6,,,
-33.911,42.706,3000,601.35,2343,1873.9,,,
-34.33,42.666,3000,597.48,2320.8,1866.5,,,
-34.819,42.654,3000,598.8,2308.7,1851.4,,,
-35.049,42.549,3000,596.92,2297.8,1846.8,,,
-35.038,42.586,3000,603.01,2312.3,1841,,,
-35.139,42.384,3000,600.69,2305,1840.3,,,
-35.407,42.217,3000,598.66,2293,1834.7,,,
-35.111,42.657,3000,596.87,2295,1845.3,,,
-35.333,42.389,3000,603.63,2305.9,1832.3,,,
-35.237,42.616,3000,599.41,2297.3,1839.2,,,
-35.327,42.344,3000,599.22,2296,1836.6,,,
-35.037,42.234,3000,598.91,2305,1844.6,,,
-35.246,42.294,3000,599.7,2300,1838.2,,,
-35.502,42.181,3000,603.96,2302.9,1827.2,,,
-35.508,42.193,3000,597.24,2286.7,1833.4,,,
-34.893,42.535,3000,598.81,2307.2,1849.1,,,
-34.805,42.371,3000,600.98,2316.2,1849,,,
-34.181,42.42,3000,599.85,2332.8,1867.6,,,
-32.898,42.555,3000,601.49,2376.6,1901.2,,,
-33.101,42.129,3000,603.48,2377.9,1892.7,,,
-32.234,42.494,3000,601.7,2398.9,1918,,,
-31.714,41.098,3000,607.88,2441,1921.4,,,
-31.607,40.564,2999.9,602.36,2434.9,1928.8,,,
-31.213,40.913,3000,597.18,2432.7,1943.4,,,
-30.786,40.727,3000,596.43,2446.5,1952.1,,,
-30.244,40.068,3000,605.68,2492.5,1952,,,
-29.69,40.103,3000,602.79,2504.2,1963.4,,,
-28.761,40.348,3000,600.59,2529.3,1977.2,,,
-27.941,40.128,3000,595.65,2547.8,1986.8,,,
-27.916,39.253,3000,603.63,2575.7,1980.6,,,
-27.413,39.382,3000,603.52,2592.3,1984.6,,,
-26.231,39.36,3000,601.21,2627.6,1991.2,,,
-26.443,39.001,3000,599.78,2619.8,1990.2,,,
-25.58,39.117,3000,599.36,2645.4,1992.9,,,
-24.987,39.337,3000,600.93,2663.8,1993.5,,,
-24.129,39.134,3000,602.2,2685.9,1992.2,,,
-23.728,38.866,3000,598.45,2684.9,1991.6,,,
-23.305,38.786,3000,598.59,2689.7,1989.9,,,
-23.004,38.327,3000,600.08,2696.3,1987.4,,,
-22.359,37.899,3000,599.98,2697.8,1983.2,,,
-21.408,38.418,3000,599.19,2689.3,1977.6,,,
-20.883,38.048,3000,601.17,2689.3,1972.1,,,
-20.236,37.732,3000,602.37,2685.6,1965.4,,,
-20.075,37.797,3000,604.12,2687,1963.7,,,
-20.048,37.598,3000,599.68,2678.5,1963.8,,,
-18.367,37.591,3000,595.09,2649.3,1950.8,,,
-18.849,37.419,3000.1,601.32,2668.3,1951.9,,,
-18.125,36.986,3000,604.77,2668.7,1943.4,,,
-17.272,36.752,3000,602.4,2655.3,1937.2,,,
-16.206,36.858,3000,601.66,2642,1932.4,,,
-16.285,36.665,3000,596.63,2632.9,1935.2,,,
-15.479,36.828,3000.1,598.97,2628.9,1931.6,,,
-15.343,36.254,3000,603.14,2638.9,1925.8,,,
-15.216,36.425,3000,602.7,2636,1926.5,,,
-14.413,36.464,3000,598.62,2619,1928.1,,,
-13.451,36.475,3000,599.89,2612.4,1926.1,,,
-13.07,36.179,3000,596.61,2603,1927.3,,,
-12.834,35.778,3000,600.75,2611.4,1921.8,,,
-12.588,35.606,3000,602.1,2612.8,1919.7,,,
-12.166,35.608,3000,598.85,2601.7,1922.5,,,
-10.67,35.599,3000,600.27,2590.9,1921.7,,,
-10.397,35.021,3000,599.42,2589,1919.8,,,
