in1,in2,in3,in4,in5,in6,in7,in8,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,
20,-10.125,49.681,-0.00175,270,79.821,0.49652,10.111,91256,559.37,627.45,218.51,485.47,14.132,6263.1,15.057,,,,,,,,
20,-10.125,49.681,-0.00175,270,79.821,0.49652,10.111,91256,559.37,627.45,218.51,485.47,14.132,6263.1,15.057,,,,,,,,
19.989,-10.125,41.795,0.00075,270,79.763,0.50045,1.011,87148,560.85,628.01,217.84,485.75,14.134,6259.7,14.971,,,,,,,,
20.002,-10.125,4.96,0.003,270,79.792,0.49944,1.012,86258,558.64,627.07,220.14,485.78,14.131,6163.3,15.058,,,,,,,,
19.998,-10.125,51.602,-0.01073,270,79.812,0.49897,10.102,88864,557.99,626.6,219.37,491.25,14.135,6327.4,14.913,,,,,,,,
19.994,-10.125,49.841,-0.0046,270,79.79,0.49905,10.112,87830,558.62,627.02,219.58,487.44,14.133,6232.5,15.009,,,,,,,,
19.993,-10.125,39.731,-0.00432,270,79.737,0.49955,10.111,88690,561.87,628.56,216.95,483.26,14.134,6259.6,15.015,,,,,,,,
19.991,-10.125,52.922,-0.00135,270,79.861,0.50177,1.012,82058,556.81,626.01,222.06,490.91,14.132,6138.5,14.973,,,,,,,,
19.994,-10.125,4.95,0.00235,270,79.785,0.4979,10.107,90354,559.02,627.24,218.71,487.5,14.134,6292.3,14.996,,,,,,,,
19.993,-10.125,49.405,-0.0013,270,79.829,0.49895,10.092,90166,558.57,626.78,218.29,493.14,14.137,6417,14.831,,,,,,,,
19.997,-10.125,49.794,-0.00907,270,79.755,0.49968,1.009,90382,558.32,626.71,218.42,493.44,14.138,6428.2,14.817,,,,,,,,
20.035,-10.356,5.221,-0.00712,270,79.981,0.5015,10.096,83195,560.72,628.56,223.17,481.01,14.146,6322.7,14.91,,,,,,,,
20.07,-10.502,5.466,-0.00316,270,80.096,0.50272,10.102,78807,561.99,629.67,226.61,472.36,14.15,6227.7,14.998,,,,,,,,
20.103,-10.5,56.933,0.00686,270,80.172,0.50741,10.147,67549,559.95,628.79,231.94,467.95,14.141,5799.2,15.189,,,,,,,,
20.143,-10.859,48.404,0.00214,270,80.552,0.51119,10.151,61463,567.49,633.13,236.42,446.76,14.153,5688.8,15.295,,,,,,,,
20.174,-10.876,64.525,-0.00239,270,80.538,0.51089,1.021,56531,562.44,631.63,244.48,440.8,14.129,5172.6,15.737,,,,,,,,
20.197,-11.128,65.357,0.001,270,80.73,0.52172,10.218,49425,562.75,632.26,253.2,437.42,14.138,4997.2,15.591,,,,,,,,
20.245,-11.252,6.681,-0.00505,270,80.891,0.51977,10.247,49030,564.76,633.8,256.46,424.09,14.123,4758.1,15.914,,,,,,,,
20.268,-11.25,54.883,11.439,270,80.901,0.52304,1.023,51289,567.65,635.02,258.46,423.97,14.136,4886.7,15.69,,,,,,,,
20.301,-11.609,69.981,22.673,270,81.172,0.52459,10.313,52580,567.12,637.21,278.98,398.1,14.086,4189.6,16.314,,,,,,,,
20.339,-11.626,76.015,24.022,270,81.298,0.5249,10.255,50511,565.91,636.26,277.93,406.29,14.134,4600.8,15.807,,,,,,,,
20.366,-11.625,76.473,25.732,270,81.453,0.52963,10.291,48200,563.67,635.22,283.64,408.62,14.109,4299.5,15.873,,,,,,,,
20.405,-11.984,69.467,27.174,270,81.563,0.53642,10.318,53074,569.52,639.2,292.44,387.97,14.096,4018.8,16.212,,,,,,,,
20.425,-12.001,80.221,29.574,270,81.541,0.53259,10.283,51855,568.28,638.8,292.49,388.14,14.127,4280.8,15.976,,,,,,,,
20.471,-12.231,85.464,31.599,269.79,81.882,0.53394,10.361,54722,568.51,640.22,305.06,370.84,14.063,3696.6,16.538,,,,,,,,
20.505,-12.377,85.723,33.766,269.59,82.022,0.54316,10.331,54733,568.5,639.94,311.09,375.78,14.099,3803.8,16.139,,,,,,,,
20.533,-12.375,88.397,35.078,269.59,82.194,0.54129,10.407,55303,566.57,639.74,317.44,367.89,14.023,3329.2,16.666,,,,,,,,
20.567,-12.734,90.526,37.202,269.59,82.289,0.55126,10.363,60077,570.14,641.98,326.44,360.27,14.081,3486.6,16.32,,,,,,,,
20.608,-12.751,79.407,39.267,269.61,82.514,0.55186,10.439,64042,571.79,642.91,331.6,352.9,14.002,3037.3,16.94,,,,,,,,
20.631,-12.981,97.493,41.694,269.59,82.645,0.55486,10.331,62625,572.54,643.04,334.4,353.78,14.121,3629,16.037,,,,,,,,
20.667,-13.127,99.074,43.932,269.63,82.706,0.55629,10.429,67354,571.66,644.5,347.3,335.01,14.027,3008.8,16.799,,,,,,,,
20.698,-13.125,10.045,46.345,269.63,82.996,0.55643,10.374,65397,572.66,643.91,344.86,342.36,14.083,3318.3,16.314,,,,,,,,
20.725,-13.484,10.257,48.166,269.58,83.067,0.56098,10.436,75694,575.66,647.27,361.03,318.53,14.031,2893.3,16.9,,,,,,,,
20.766,-13.501,10.001,50.396,269.6,83.285,0.56586,10.413,75470,575.72,646.71,363.03,326.31,14.057,2982.6,16.588,,,,,,,,
20.805,-13.731,10.089,51.956,269.58,83.422,0.5666,10.475,83966,577.75,649.07,375.27,307,13.999,2625.4,17.179,,,,,,,,
20.829,-13.877,11.304,55.111,269.62,83.407,0.56784,10.498,86851,577.54,649.74,384.69,291.83,13.982,2497.2,17.331,,,,,,,,
20.862,-13.875,11.277,57.369,269.61,83.796,0.57158,10.449,84284,577.6,648.69,384.19,303.38,14.034,2698.7,16.761,,,,,,,,
20.899,-14.234,11.437,59.286,269.56,83.793,0.57392,10.532,1.02E+05,581.64,652.65,402.45,274.43,13.961,2276.9,17.606,,,,,,,,
20.934,-14.251,10.281,61.456,269.62,83.935,0.58356,10.497,1.05E+05,581.92,652.35,404.82,291.52,13.999,2373.8,17.159,,,,,,,,
20.961,-14.481,12.465,64.339,269.63,84.177,0.58178,10.568,1.14E+05,582.85,653.59,418.7,258.98,13.937,2075.2,17.667,,,,,,,,
21,-14.627,12.181,66.915,269.58,84.169,0.58393,10.506,1.17E+05,587.22,655.66,419.5,262.39,14.004,2288.8,17.273,,,,,,,,
21.029,-14.625,11.011,6.854,269.62,84.498,0.5856,10.561,1.27E+05,586.4,655.81,426.12,264.38,13.947,2064.6,17.674,,,,,,,,
21.06,-14.856,13.247,71.348,269.61,84.544,0.59119,10.542,1.29E+05,589.18,656.81,433.15,247.13,13.98,2085.1,17.315,,,,,,,,
21.1,-15.002,12.851,73.715,269.56,84.594,0.59285,10.584,1.46E+05,591.71,658.83,442.5,237.33,13.94,1919,17.712,,,,,,,,
21.143,-15,11.986,75.463,269.61,84.993,0.59612,10.663,1.62E+05,589.72,658.19,452.4,235.95,13.861,1661.4,18.177,,,,,,,,
21.161,-15.359,13.769,78.097,269.61,84.909,0.59981,10.587,1.65E+05,598.44,662.37,456.54,220.97,13.948,1840.7,17.643,,,,,,,,
21.183,-15.376,13.579,80.227,269.57,85.205,0.6003,10.615,1.73E+05,598.65,662.63,460.13,219.06,13.919,1746.4,17.785,,,,,,,,
21.189,-15.375,12.855,80.618,269.55,85.245,0.59905,10.664,1.86E+05,598.41,662.93,465.1,215.81,13.868,1613.1,18.244,,,,,,,,
21.182,-15.375,13.326,80.255,269.62,85.223,0.60154,10.627,1.77E+05,597.83,662.47,462.46,219.52,13.907,1706.1,17.848,,,,,,,,
21.185,-15.375,13.793,80.559,269.61,85.292,0.59912,10.678,1.83E+05,599.51,662.65,462.37,208.88,13.853,1574.6,18.263,,,,,,,,
21.188,-15.375,13.578,80.096,269.59,85.323,0.6001,10.661,1.81E+05,598.49,662.47,463.02,213.09,13.871,1613,18.113,,,,,,,,
21.189,-15.375,13.521,80.064,269.59,85.233,0.60234,10.676,1.84E+05,597.79,662.13,465.28,212,13.856,1565.6,18.166,,,,,,,,
21.191,-15.375,12.105,79.611,269.6,85.258,0.60204,10.684,1.92E+05,596.35,662.36,470.58,219.5,13.849,1545.6,18.369,,,,,,,,
21.238,-15.375,14.057,80.723,269.77,85.361,0.60215,10.672,1.79E+05,598.62,662.2,462.61,209.54,13.86,1577.6,18.077,,,,,,,,
21.408,-15.581,13.457,83.678,270.05,85.853,0.60134,10.653,1.89E+05,602.79,665.67,472.01,206.91,13.884,1603.7,18.089,,,,,,,,
21.589,-15.751,11.893,86.185,270.55,86.343,0.6073,10.638,2.02E+05,603.62,668.2,487.44,214.2,13.906,1596.8,18.016,,,,,,,,
21.772,-15.75,13.511,89.423,270.67,86.934,0.60865,10.594,1.81E+05,605.2,667.83,479.72,214.63,13.952,1706.4,17.286,,,,,,,,
21.966,-16.104,12.935,92.502,271.44,87.323,0.60994,10.602,2.06E+05,612.75,673.88,498.16,201.81,13.95,1641.4,17.633,,,,,,,,
22.149,-16.126,11.779,95.212,271.91,87.807,0.60982,10.575,2.04E+05,614.07,675.76,501.49,210.89,13.982,1718,17.547,,,,,,,,
22.328,-16.484,12.666,98.324,272.43,88.403,0.61059,10.587,2.21E+05,622.29,680.87,515.22,192.44,13.972,1632.8,17.675,,,,,,,,
22.52,-16.501,12.357,10.175,273.14,88.724,0.61306,10.553,2.15E+05,623.56,681.81,515.41,198.14,14.012,1728,17.355,,,,,,,,
22.701,-16.706,11.068,10.383,273.6,89.301,0.61511,10.506,2.20E+05,628.75,685.78,527.14,204.79,14.068,1861.1,17.291,,,,,,,,
22.886,-16.876,12.385,10.778,274.13,89.884,0.6151,10.516,2.24E+05,633.06,687.23,529.5,191.77,14.059,1796.1,17.116,,,,,,,,
23.075,-16.875,11.885,11.152,274.79,90.23,0.61623,10.614,2.46E+05,631.53,689.44,539.28,179.07,13.949,1476.2,17.835,,,,,,,,
23.254,-17.229,10.493,11.396,275.22,90.555,0.61981,10.538,2.57E+05,639.79,695,559.08,183.72,14.043,1664.6,17.776,,,,,,,,
23.44,-17.251,12.085,11.718,275.6,91.1,0.62214,1.052,2.44E+05,640.82,692.67,550.17,181.41,14.061,1699.9,17.063,,,,,,,,
23.629,-17.481,11.489,12.05,276.5,91.678,0.61985,10.466,2.47E+05,645.96,695.71,557.72,178.51,14.126,1898,17.042,,,,,,,,
23.8,-17.627,10.274,12.345,276.93,92.112,0.61778,1.045,2.56E+05,649.46,698.79,569.05,176.45,14.147,1969.1,17.355,,,,,,,,
23.997,-17.831,11.265,12.629,277.6,92.687,0.62668,10.539,2.81E+05,651.58,701.1,585.09,161.94,14.046,1548.3,17.553,,,,,,,,
