in1,in2,in3,in4,out1_0sec,out2_0sec,out1_2sec_shift,out1_2sec_shift_noise,out1_2sec_shift_filt,out1_2sec_shift_noise_filt,out1_4sec_shift,out1_4sec_shift_noise,out1_4sec_shift_filt,out1_4sec_shift_noise_filt,out1_6sec_shift,out1_6sec_shift_noise,out1_6sec_shift_filt,out1_6sec_shift_noise_filt,out1_8sec_shift,out1_8sec_shift_noise,out1_8sec_shift_filt,out1_8sec_shift_noise_filt,out1_10sec_shift,out1_10sec_shift_noise,out1_10sec_shift_filt,out1_10sec_shift_noise_filt,out2_2sec_shift,out2_2sec_shift_noise,out2_2sec_shift_filt,out2_2sec_shift_noise_filt,out2_4sec_shift,out2_4sec_shift_noise,out2_4sec_shift_filt,out2_4sec_shift_noise_filt,out2_6sec_shift,out2_6sec_shift_noise,out2_6sec_shift_filt,out2_6sec_shift_noise_filt,out2_8sec_shift,out2_8sec_shift_noise,out2_8sec_shift_filt,out2_8sec_shift_noise_filt,out2_10sec_shift,out2_10sec_shift_noise,out2_10sec_shift_filt,out2_10sec_shift_noise_filt
11,-31.387,42.389,4400.0,305.71,1827.2,1945.5,1796.5,1799.691511920482,1792.9659147916657,1793.0152883670632,1763.7,1762.5139852892908,1766.497336037804,1766.9057965811082,1728.0,1726.8449181647254,1747.878104161262,1747.0204030533655,1720.0,1720.4508559593276,1733.8938193945653,1734.64341340411,1728.9,1729.912947959088,1625.56893151056,1625.225500536766,1932.6,1933.1766924003728,1928.4356488118624,1928.4660048118003,1904.7,1903.4682071946372,1906.0472976993372,1906.350679251083,1881.2,1878.9939834252468,1896.00706648817,1896.1681368050772,1876.7,1877.575271616539,1885.985025566942,1886.3300883096235,1875.7,1874.489018419943,1765.450299903517,1765.426267535542
12,-30.844,42.244,4400.0,306.88,1845.6,1949.9,1801.6,1801.7127343650825,1807.7206923145384,1807.18261851176,1777.0,1777.6434322838195,1779.0212080798085,1779.2589516182088,1761.8,1760.4454757476235,1755.2755644520012,1755.0771168448568,1769.3,1769.101845990635,1744.3396219419094,1745.006139524844,1724.4,1724.9999522980795,1719.0826648301536,1718.6910677972978,1940.2,1940.9316807103887,1938.5342421022456,1938.460183406251,1911.4,1910.271834580877,1915.9630294527449,1915.9877480100304,1901.7,1901.9352263493088,1898.8537229985648,1898.9832873012683,1917.2,1916.564812994215,1895.2956635997425,1895.7579451590573,1874.4,1875.4914969894005,1869.052375036932,1869.293463191501
13,-30.112,42.352,4400.0,306.29,1864.0,1958.6,1827.2,1828.4742602193244,1825.767455166776,1824.8582123541232,1796.5,1797.8971789940013,1792.9659147916657,1793.1437473084616,1763.7,1765.654743730389,1766.497336037804,1766.6225978487416,1728.0,1729.280738875212,1747.878104161262,1748.447993059296,1720.0,1721.3331446516856,1733.8938193945653,1733.612598737056,1945.5,1946.613699886639,1945.213192770525,1945.0719273013883,1932.6,1933.380496420614,1928.4356488118624,1928.6707902687567,1904.7,1904.5726813547144,1906.0472976993372,1906.068882737347,1881.2,1881.0480192321493,1896.00706648817,1896.4298065747184,1876.7,1875.3078707972768,1885.985025566942,1886.139456024853
14,-29.735,42.283,4400.0,305.49,1873.3,1962.2,1845.6,1846.7724644543257,1844.6469162007952,1844.155918835442,1801.6,1803.2693290065183,1807.7206923145384,1807.733807388096,1777.0,1775.9577363267122,1779.0212080798085,1779.0134227449971,1761.8,1760.8993563206598,1755.2755644520012,1755.7565647443448,1769.3,1771.1719552411432,1744.3396219419094,1744.099154761972,1949.9,1951.7191443609252,1951.0732340269296,1950.9218034136384,1940.2,1941.300375084442,1938.5342421022456,1938.867424199942,1911.4,1912.4950213921927,1915.9630294527449,1916.2503099303576,1901.7,1901.280512472152,1898.8537229985648,1898.8663367477263,1917.2,1916.930953318684,1895.2956635997425,1895.084473702038
15,-29.417,42.361,4400.0,304.38,1879.3,1966.0,1864.0,1864.203423351171,1860.4229703570732,1860.533217455704,1827.2,1827.0323007397533,1825.767455166776,1825.510207995003,1796.5,1797.2599510128523,1792.9659147916657,1793.042009040985,1763.7,1763.7747162309572,1766.497336037804,1766.9546348991544,1728.0,1728.1154191934763,1747.878104161262,1747.778399696084,1958.6,1959.9619570364323,1957.030778371462,1957.1225108769745,1945.5,1946.2902064625075,1945.213192770525,1945.646499019807,1932.6,1932.654399239156,1928.4356488118624,1928.872967675869,1904.7,1904.2573822414336,1906.0472976993372,1906.0478298778055,1881.2,1880.38685777872,1896.00706648817,1895.3926110520028
16,-29.187,42.448,4400.0,301.24,1878.5,1971.2,1873.3,1872.845763934684,1871.2733076862717,1871.7285974712668,1845.6,1845.9928143969785,1844.6469162007952,1844.2042824449609,1801.6,1801.0598669696028,1807.7206923145384,1808.246767421669,1777.0,1776.6288933536923,1779.0212080798085,1779.4004776847069,1761.8,1763.9648697228315,1755.2755644520012,1755.4015346877495,1962.2,1962.7390826923363,1962.0379409843308,1962.272188016924,1949.9,1950.9730364578052,1951.0732340269296,1951.483908152784,1940.2,1940.336277923452,1938.5342421022456,1938.725891356606,1911.4,1910.5808768613224,1915.9630294527449,1916.2044534523889,1901.7,1900.6376747272684,1898.8537229985648,1898.2009196629187
17,-28.133,42.151,4400.0,304.28,1916.6,1971.8,1879.3,1877.9182126197177,1878.9541009262368,1879.5032280536943,1864.0,1864.6164518731584,1860.4229703570732,1859.9735343439895,1827.2,1827.3500139528048,1825.767455166776,1826.276622023532,1796.5,1795.9961703887284,1792.9659147916657,1793.033667653514,1763.7,1761.177601926537,1766.497336037804,1766.4882813859622,1966.0,1964.4361108298715,1966.2331746366956,1966.2670101141107,1958.6,1958.5159155810093,1957.030778371462,1957.052362639714,1945.5,1943.2579404163384,1945.213192770525,1945.537293489368,1932.6,1930.32803607676,1928.4356488118624,1928.8817990037371,1904.7,1904.255068110247,1906.0472976993372,1905.6682061515369
18,-27.19,42.451,4400.0,302.56,1937.7,1978.1,1878.5,1880.5359022560108,1891.079605779628,1891.701627627705,1873.3,1871.454583781667,1871.2733076862717,1871.0152404789485,1845.6,1844.8843869052416,1844.6469162007952,1844.901144469123,1801.6,1800.4694417657718,1807.7206923145384,1807.70680425972,1777.0,1777.4434564244025,1779.0212080798085,1778.3548261548522,1971.2,1971.6474512253192,1969.934851753018,1969.810160401543,1962.2,1962.3134461465927,1962.0379409843308,1961.551850999664,1949.9,1948.8036197226695,1951.0732340269296,1951.53981023269,1940.2,1940.308177029239,1938.5342421022456,1939.185458653824,1911.4,1908.935269626713,1915.9630294527449,1915.74548387148
19,-27.035,42.253,4400.0,304.72,1948.1,1975.5,1916.6,1916.7964492376143,1912.2003321137488,1912.7970481852544,1879.3,1880.0253938875032,1878.9541009262368,1878.918349707886,1864.0,1864.1142878414505,1860.4229703570732,1860.8522941187248,1827.2,1826.9422897096856,1825.767455166776,1826.0248273043744,1796.5,1798.8750939883655,1792.9659147916657,1791.980514788435,1971.8,1970.7891366607969,1973.0499742665424,1972.9393163826096,1966.0,1965.505426248484,1966.2331746366956,1965.204871206549,1958.6,1958.1537739479024,1957.030778371462,1957.055534617421,1945.5,1945.261981922317,1945.213192770525,1945.7517776818693,1932.6,1934.499751828712,1928.4356488118624,1928.572504904428
20,-26.381,42.43,4400.0,304.5,1965.2,1978.2,1937.7,1937.776142749571,1933.395414590044,1933.7621217570104,1878.5,1878.0797499112648,1891.079605779628,1891.253241404632,1873.3,1872.9424387666727,1871.2733076862717,1871.9371525882643,1845.6,1845.792508808093,1844.6469162007952,1845.1831726240944,1801.6,1801.0945434780613,1807.7206923145384,1807.5574502926795,1978.1,1977.1516074895776,1975.49804360014,1975.2676463356363,1971.2,1970.0118144165128,1969.934851753018,1969.3566122285608,1962.2,1961.976644133641,1962.0379409843308,1961.6440347719304,1949.9,1950.279576511331,1951.0732340269296,1951.4515702287536,1940.2,1940.895517168682,1938.5342421022456,1938.6433418040244
21,-25.859,42.088,4400.0,310.41,1995.4,1972.3,1948.1,1947.9876193081675,1950.4761236114068,1950.655189815628,1916.6,1916.4288601933013,1912.2003321137488,1912.6713581112383,1879.3,1878.3273219318055,1878.9541009262368,1879.6232356848136,1864.0,1865.6114975257735,1860.4229703570732,1861.366425912076,1827.2,1827.300441978539,1825.767455166776,1826.568722319348,1975.5,1976.1847736628704,1976.408111917105,1976.221281057586,1971.8,1971.6577238015816,1973.0499742665424,1973.459770656124,1966.0,1968.073900869536,1966.2331746366956,1965.908306882656,1958.6,1957.1830584541945,1957.030778371462,1957.6033024138087,1945.5,1946.856483153794,1945.213192770525,1945.105932484486
22,-25.343,42.258,4400.0,304.23,1995.6,1979.5,1965.2,1963.4874745664265,1968.5284190055409,1968.2966805302751,1937.7,1938.5213396752577,1933.395414590044,1933.9372987032332,1878.5,1879.739293354796,1891.079605779628,1891.6279342769608,1873.3,1872.4270996168611,1871.2733076862717,1871.9669694752508,1845.6,1846.3158616494857,1844.6469162007952,1845.568994818109,1978.2,1979.4953858902104,1976.1694805283628,1976.381608276796,1978.1,1978.63431480156,1975.49804360014,1976.131735528381,1971.2,1970.5958914604505,1969.934851753018,1969.852099250229,1962.2,1961.1013475219297,1962.0379409843308,1963.234914179588,1949.9,1949.6220596090288,1951.0732340269296,1950.946389307775
23,-24.607,42.433,4400.0,304.01,2015.4,1981.5,1995.4,1995.6208112912373,1986.488835309075,1985.8377741607453,1948.1,1948.309618092867,1950.4761236114068,1950.6575494496951,1916.6,1917.6096687532208,1912.2003321137488,1912.4805913902007,1879.3,1878.6760262939224,1878.9541009262368,1878.6209156757864,1864.0,1864.5174787628505,1860.4229703570732,1861.1862150282964,1972.3,1971.734428226458,1976.2030765578943,1976.6625080957592,1975.5,1976.0252521072537,1976.408111917105,1976.4483890435624,1971.8,1971.1208142807816,1973.0499742665424,1973.1268477504705,1966.0,1965.8120638569512,1966.2331746366956,1967.5966944601855,1958.6,1959.010144366232,1957.030778371462,1956.4795829162888
24,-24.696,42.303,4400.0,304.18,2014.0,1980.6,1995.6,1992.9164943929409,1999.6749892463044,1999.203169560644,1965.2,1966.5461336758535,1968.5284190055409,1968.335475685684,1937.7,1937.7500535687263,1933.395414590044,1933.3515446952763,1878.5,1878.3116623210844,1891.079605779628,1890.0894938301,1873.3,1874.752800846288,1871.2733076862717,1871.8196490428252,1979.5,1978.6233223403488,1978.225176999034,1978.767940781644,1978.2,1976.1268847977517,1976.1694805283628,1975.525874388304,1978.1,1976.8220643372465,1975.49804360014,1974.93274641514,1971.2,1969.5072863540197,1969.934851753018,1970.8952041910088,1962.2,1963.0527998502143,1962.0379409843308,1961.3482581590813
25,-23.797,42.303,4400.0,303.41,2038.5,1982.3,2015.4,2015.622139483617,2010.4026140149772,2010.6563537127568,1995.4,1995.0015772914317,1986.488835309075,1985.9751250012723,1948.1,1949.439562163224,1950.4761236114068,1950.1454944664324,1916.6,1915.4222886623536,1912.2003321137488,1911.58293778813,1879.3,1879.8906618700707,1878.9541009262368,1879.0950536213973,1981.5,1982.258219848718,1980.3117222112503,1980.753409495608,1972.3,1971.2540297599508,1976.2030765578943,1975.711335359494,1975.5,1974.7319209638,1976.408111917105,1975.4127234889456,1971.8,1970.441958079622,1973.0499742665424,1973.688807215478,1966.0,1965.7798505344692,1966.2331746366956,1966.1157143554344
