in1,in2,in3,in4,out1,out2,,
-21.395,31.074,4400,303.66,2185.9,1932,,
-20.882,30.258,4400,304.35,2209.1,1928.1,,
-20.601,30.224,4400,303.91,2217.2,1928.5,,
-19.63,29.493,4400,305.31,2256.3,1924.7,,
-18.646,28.818,4400,306.97,2295.9,1921,,
-18.369,28.592,4400,306.63,2305.2,1920.4,,
-17.891,28.6,4400,304.07,2313.2,1922.9,,
-17.605,28.317,4400,302.77,2320.2,1922.9,,
-17.07,27.59,4400,303.96,2342,1918.9,,
-16.999,27.311,4400,304.24,2346.2,1917.4,,
-15.906,26.51,4400,307.35,2378.3,1911.9,,
-15.616,26.251,4400,306.81,2381.6,1911.3,,
-14.894,26.435,4400,304.55,2380.2,1914.5,,
-15.073,25.84,4400,303.46,2379.5,1912.6,,
-13.655,24.936,4400,303.77,2374.7,1909.1,,
-13.177,24.492,4400,304.6,2370.3,1906.6,,
-12.581,24.461,4400,307.13,2365.4,1904.8,,
-12.346,24.173,4400,306.75,2361.1,1903.9,,
-11.883,23.342,4400,303.4,2348.4,1903.2,,
-11.619,23.275,4400,303.9,2345,1902.6,,
-10.432,22.607,4400,304.45,2328.9,1899.9,,
-10.179,22.23,4400,303.2,2323.8,1899.3,,
-10.036,21.829,4400,308.46,2332.6,1893.3,,
-91.232,21.738,4400,304.4,2313.8,1896.8,,
-87.984,21.049,4400,303.63,2310.6,1894.5,,
-84.112,20.925,4400,303.56,2306.5,1894.2,,
-8.162,20.648,4400,303.89,2305.3,1892.8,,
-74.037,20.102,4400,308.05,2307.4,1887.4,,
-62.244,19.869,4400,305.49,2292.2,1889.1,,
-55.345,19.182,4400,303.09,2283.9,1888.4,,
-58.823,19.287,4400,303.61,2287.6,1888.2,,
-48.718,18.548,4400,305,2284.2,1884.4,,
-43.932,18.087,4400,304.19,2280.3,1883.2,,
-38.189,17.501,4400,304.78,2278.8,1880.4,,
-33.988,17.006,4400,304.92,2277.5,1878.3,,
-28.629,16.943,4400,308.19,2279.8,1875.7,,
-25.098,16.287,4400,307.51,2278.1,1873.5,,
-24.118,16.165,4400,302.61,2268.2,1877,,
-18.128,15.662,4400,302.55,2265.1,1875.2,,
-13.862,15.539,4400,306.84,2270.5,1871.3,,
-0.093417,14.847,4400,308.1,2264,1868,,
13.644,14.111,4400,303.18,2237.6,1869.6,,
0.90672,14.501,4400,303.34,2243.6,1870.9,,
20.878,13.801,4400,303.56,2226,1868.3,,
23.552,13.131,4400,307.45,2231.3,1862.2,,
25.013,12.995,4400,306.51,2225.7,1862.5,,
26.208,12.469,4400,301.8,2210.6,1864.1,,
34.989,12.115,4400,306.33,2197.9,1859.3,,
37.384,11.889,4400,307.75,2194.4,1857.2,,
32.524,12.2,4400,304.03,2198.9,1861.4,,
37.914,12.536,4400,302.94,2177.2,1864.1,,
30.128,12.828,4400,303.56,2204.3,1864.5,,
25.387,13.41,4400,307.54,2226.9,1863.5,,
2.499,13.732,4400,307.24,2226.5,1865.2,,
0.83023,14.415,4400,304.12,2246.6,1869.9,,
0.88661,14.525,4400,304.2,2245.7,1870.3,,
-0.55615,14.842,4400,303.85,2259.8,1871.2,,
-0.4841,15.127,4400,303.57,2257.5,1872.7,,
-0.34421,15.13,4400,306.86,2262.9,1870.1,,
-15.824,16.337,4400,307.73,2270.8,1874.1,,
-19.772,16.676,4400,303.77,2265,1878.7,,
-2.613,17.108,4400,304.13,2269.2,1879.9,,
-29.186,17.452,4400,303.63,2269.4,1881.7,,
-32.616,17.579,4400,303.98,2272.4,1881.8,,
-43.948,18.414,4400,306.07,2282.7,1883.2,,
-40.734,18.301,4400,306.42,2281.1,1882.6,,
-50.026,19.106,4400,308.74,2290.5,1883.7,,
-56.788,19.463,4400,303.91,2285.7,1888.9,,
-62.446,19.584,4400,303.35,2289.3,1889.6,,
-62.656,19.796,4400,304.56,2291,1889.5,,
-7.313,20.161,4400,305.34,2301.1,1889.9,,
-77.337,20.646,4400,303.59,2300.4,1893.3,,
-80.499,21.186,4400,304.12,2302.9,1895.1,,
-89.178,21.204,4400,306.47,2316.9,1892.7,,
-92.401,21.856,4400,307.27,2320.3,1894.8,,
-91.981,22.298,4400,305.45,2315.1,1898.4,,
-10.229,22.882,4400,304.08,2324.7,1901.6,,
-11.31,22.591,4400,304.28,2341.8,1899.4,,
-11.91,23.991,4400,304.33,2349.7,1905.4,,
-12.184,24.429,4400,305.79,2356.4,1906,,
-12.683,24.335,4400,306.15,2365.5,1905,,
-13.68,24.874,4400,304.74,2376.9,1908,,
-13.917,25.354,4400,304.85,2379,1909.9,,
-14.27,25.556,4400,302.48,2377,1912.6,,
-14.703,26.155,4400,305.97,2383.9,1912.2,,
-14.733,26.805,4400,305.41,2381,1915.6,,
-15.273,26.667,4400,304.51,2377.8,1915.4,,
-15.788,27.335,4400,304.51,2369.8,1918.1,,
-16.034,27.779,4400,304.81,2364.5,1919.7,,
-17.494,28.545,4400,306.19,2329.8,1921.1,,
-17.82,28.758,4400,305.71,2318,1922.3,,
-18.166,28.775,4400,305.15,2306.4,1922.6,,
-18.469,29.254,4400,304.68,2292.7,1925,,
-19.389,29.627,4400,304.46,2260.9,1926.2,,
-19.976,29.775,4400,304.24,2240.8,1926.7,,
-20.744,30.359,4400,305.71,2216,1927.5,,
-20.521,30.986,4400,307.83,2223.6,1928.8,,
-21.103,31.373,4400,303.24,2191.9,1934,,
-21.688,31.53,4400,305.54,2178,1932.3,,
-22.636,32.216,4400,303.99,2140.7,1935.8,,
-23.316,32.584,4400,304,2117.7,1936.8,,
-23.754,32.885,4400,306.21,2107.6,1935.7,,
-23.944,33.083,4400,307.05,2102.5,1935.7,,
-24.612,33.427,4400,304.83,2075.3,1938.1,,
-25.71,34.025,4400,304.32,2037.9,1939.2,,
-25.345,34.537,4400,303.98,2044.5,1942.8,,
-26.353,34.868,4400,303.94,2012.9,1941.9,,
-27.126,35.264,4400,304.5,1989.2,1940.8,,
-27.952,35.751,4400,307.58,1969.1,1936.5,,
-28.466,35.969,4400,306.23,1950,1936,,
-28.725,36.175,4400,305.06,1938.8,1936.6,,
-28.857,36.603,4400,303.24,1928.4,1939.9,,
-29.942,37.719,4400,302.86,1890,1937.6,,
-30.357,37.549,4400,307.46,1889.3,1926.8,,
-30.865,38.34,4400,305.46,1865.8,1927.8,,
-31.038,38.713,4400,302.37,1852.2,1931.6,,
-31.659,39.018,4400,304.1,1836.8,1922.5,,
-31.989,39.242,4400,306.62,1831.6,1915.2,,
-32.352,39.653,4400,308.37,1822.8,1909.3,,
-33.167,39.869,4400,303.67,1789.2,1901.9,,
-33.967,40.547,4400,302.04,1760,1892.5,,
-34.905,41.461,4400,306.43,1738.3,1873,,
-35.029,42.603,4400,307.27,1729.9,1876.7,,
-35.241,42.344,4400,305.68,1722.5,1872.8,,
-35.107,42.391,4400,302.76,1719.8,1879.8,,
-34.78,42.339,4400,304.95,1733.4,1883.3,,
-34.919,42.44,4400,304.73,1728.6,1881.3,,
-35.176,42.488,4400,304.66,1721.3,1876.4,,
-35.177,42.412,4400,303.99,1720.3,1876.8,,
-34.887,42.131,4400,304.73,1731.3,1880,,
-34.995,42.282,4400,309.05,1736.4,1872.9,,
-35.036,42.044,4400,303.9,1726.1,1877.4,,
-34.634,42.24,4400,303.66,1735.2,1887.5,,
-34.901,42.27,4400,305.23,1731.1,1879.9,,
-34.904,40.335,4400,304.49,1741,1868.4,,
-34.229,40.467,4400,302.76,1754.9,1885.5,,
-33.689,39.513,4400,306.82,1783.7,1884.6,,
-33.053,39.256,4400,307.9,1804.9,1894.1,,
-32.955,38.968,4400,305.75,1804.8,1897.1,,
-32.511,38.586,4400,304.46,1816.6,1904.7,,
-31.455,37.41,4400,303.55,1851.1,1916.1,,
-31.23,36.737,4400,305.24,1865.1,1913,,
-30.777,36.806,4400,304.57,1875.9,1920.6,,
-30.657,36.428,4400,303.16,1878.5,1921.6,,
-29.896,35.294,4400,307.68,1916.7,1918.4,,
-29.099,34.689,4400,306.88,1941.4,1923.6,,
-28.681,34.761,4400,304.6,1947.9,1929.7,,
-28.009,34.033,4400,304.34,1971.2,1930.4,,
-27.523,33.462,4400,304.59,1989.3,1929.8,,
-26.547,32.788,4400,305.39,2023.8,1929.7,,
-26.684,32.691,4400,305.28,2020.1,1928.8,,
-25.66,31.703,4400,304.09,2053.9,1928.3,,
-25.34,31.293,4400,304.82,2067.6,1926.5,,
-24.673,30.471,4400,304.26,2091.5,1924.5,,
-24.488,30.078,4400,304.37,2099.9,1922.9,,
-23.728,29.464,4400,305.14,2128.6,1920.6,,
-23.274,28.992,4400,304.28,2143.6,1919.8,,
-22.796,28.564,4400,305.53,2164.1,1917.4,,
-22.229,28.124,4400,305.44,2184.4,1916.1,,
-21.703,27.225,4400,304.07,2203.9,1913.6,,
-20.721,26.89,4400,305.37,2240.5,1911.9,,
-20.287,26.73,4400,304.17,2252.6,1912.5,,
-20.196,26.006,4400,307.3,2268.2,1906.6,,
-19.192,24.922,4400,306.97,2307.3,1902.7,,
-18.971,24.715,4400,304.06,2308.6,1904.4,,
-18.114,23.958,4400,305.71,2343.2,1900.1,,
-18.181,23.553,4400,304.26,2340.8,1899.4,,
-17.414,23.388,4400,304.02,2360.9,1899.4,,
-16.645,22.63,4400,305.68,2383.8,1895.1,,
-16.166,22.285,4400,305.04,2389.8,1894.3,,
-15.652,21.701,4400,305.13,2395.2,1891.9,,
-15.229,21.198,4400,304.7,2395.7,1890.3,,
-14.919,20.644,4400,305.08,2396.3,1887.6,,
-14.215,20.345,4400,304.74,2389.7,1887,,
-14.198,19.819,4400,304.27,2389.5,1885,,
-13.705,19.229,4400,304.89,2385.1,1882.1,,
-12.669,18.327,4400,305.07,2371.6,1878.5,,
-12.525,17.823,4400,305.54,2371.3,1876,,
-11.65,17.614,4400,303.89,2356.1,1876.9,,
-11.128,17.177,4400,305.5,2353.2,1873.9,,
-10.652,16.512,4400,303.95,2346.1,1872.5,,
-95.886,15.42,4400,303.46,2336.3,1868.6,,
-94.374,15.149,4400,308.53,2345.4,1863.3,,
-90.656,14.826,4400,305.63,2337.1,1864.5,,
-88.745,14.426,4400,303.82,2333,1864.2,,
-75.223,13.428,4400,303.37,2322.8,1860.9,,
-68.928,13.197,4400,304.39,2320,1859.4,,
-76.952,13.246,4400,303.99,2326.3,1859.5,,
-62.218,12.308,4400,308.02,2324.6,1852.9,,
-57.116,11.586,4400,304.9,2316.8,1852.5,,
-59.314,10.905,4400,303.97,2319.4,1850.1,,
-45.285,10.552,4400,304.33,2309.7,1849,,
-47.381,10.15,4400,303.71,2311.7,1847.6,,
-4.176,9.355,4400,308,2318.4,1840.9,,
-36.577,89.903,4400,305.16,2309.7,1841.9,,
-23.607,82.219,4400,303.43,2297.1,1840.6,,
-19.401,76.445,4400,304.11,2295.7,1837.7,,
-14.279,70.688,4400,304.13,2291,1835.4,,
-0.12011,68.003,4400,307.56,2279.7,1832.2,,
-0.5537,60.793,4400,304.26,2279.4,1831.4,,
0.52881,54.691,4400,302.73,2254.8,1830.6,,
10.388,51.009,4400,303.66,2244.2,1828.5,,
0.95314,44.538,4400,307.98,2253.4,1822.1,,
17.023,35.872,4400,305.59,2224.8,1820.6,,
22.207,31.915,4400,300.89,2197.8,1822.9,,
32.574,28.476,4400,305.48,2178.5,1818.3,,
3.488,2.233,4400,306.03,2170.2,1815.3,,
3.938,21.937,4400,306.73,2159.7,1814.8,,
39.759,20.592,4400,302.64,2148.2,1817.5,,
39.231,21.314,4400,305.02,2155.7,1815.9,,
31.021,32.437,4400,306.84,2188.2,1818.9,,
28.372,31.714,4400,306.81,2194.9,1818.4,,
19.276,39.625,4400,303.54,2216.1,1824,,
0.96772,42.854,4400,303.95,2243.2,1824.6,,
17.128,44.189,4400,302.85,2222.5,1826.5,,
0.19381,57.591,4400,307.69,2273.2,1827.7,,
0.25648,57.243,4400,306.83,2270,1828.2,,
-0.75511,6.818,4400,304.38,2282.8,1834.5,,
-10.695,73.267,4400,304.7,2287.3,1836.3,,
-18.324,75.453,4400,303.26,2293.1,1838,,
-14.676,80.286,4400,304.11,2289.7,1839.7,,
-24.762,88.795,4400,304.19,2297.8,1842.9,,
-2.945,92.928,4400,308,2308.2,1841.3,,
-40.961,99.824,4400,304.69,2309,1846.4,,
-41.265,99.871,4400,302.88,2305.7,1847.9,,
-48.546,10.684,4400,303.94,2311.2,1849.7,,
-51.054,11.527,4400,306.2,2314.5,1851.5,,
-54.408,11.753,4400,307.55,2319.1,1851.2,,
-61.276,12.527,4400,305.56,2318.1,1855.9,,
-68.044,12.862,4400,303.45,2318.6,1858.8,,
-79.621,13.868,4400,303.69,2325.9,1862.4,,
-7.541,14.092,4400,304.93,2323.6,1862.6,,
-84.433,15.166,4400,303.15,2324.9,1868.4,,
-87.563,15.216,4400,305.65,2332.7,1866.4,,
-94.635,15.729,4400,307.43,2341.7,1866.8,,
-9.571,15.819,4400,306.88,2341.5,1867.6,,
-10.571,16.533,4400,304.02,2345.2,1872.6,,
-10.481,16.9,4400,303.67,2342.4,1874.6,,
-11.976,18.103,4400,304.53,2360.8,1878.4,,
-12.37,18.468,4400,305.51,2367.7,1879,,
-12.7,18.743,4400,304.66,2370.5,1880.7,,
-13.55,19.815,4400,304.47,2381.2,1885.2,,
-14.334,20.373,4400,304.85,2391.2,1887,,
-14.528,20.325,4400,308.13,2399.5,1883.9,,
-14.92,21.066,4400,304.4,2394.1,1890.1,,
-15.606,21.742,4400,302.8,2390.4,1894.1,,
-15.879,21.918,4400,304.69,2392.6,1893.2,,
-16.439,22.274,4400,304.89,2386.6,1894.3,,
-17.32,22.892,4400,304.68,2367.6,1896.7,,
-17.66,23.777,4400,307.86,2361.4,1897.8,,
-18.476,24.219,4400,306.09,2332,1900.8,,
-18.862,24.902,4400,304.6,2311.9,1904.8,,
-19.532,25.649,4400,304.7,2285.8,1907.7,,
-19.982,25.755,4400,303.66,2268.2,1908.7,,
-20.4,26.589,4400,304.37,2250.5,1911.6,,
-20.76,26.868,4400,303.76,2235.6,1913.1,,
-21.473,27.724,4400,306.9,2214.3,1913.7,,
-21.926,28.177,4400,307.88,2199.2,1914.6,,
-22.711,28.582,4400,305.09,2165.6,1917.9,,
-23.379,29.148,4400,303.98,2138.7,1920.7,,
-23.741,29.527,4400,304.92,2127.3,1921.1,,
-24.24,30.227,4400,303.94,2105.4,1924.4,,
-24.576,30.621,4400,304.4,2093.8,1925.3,,
-24.959,31.12,4400,303.09,2076.1,1928,,
-25.371,31.955,4400,307.45,2068.3,1927.2,,
-25.926,32.305,4400,307.52,2049.8,1927.4,,
-26.496,32.906,4400,304.18,2021.8,1931.6,,
-27.083,33.237,4400,304.06,2002.3,1931.2,,
-27.211,34.121,4400,303.87,1992.6,1935.3,,
-28.405,34.67,4400,304.57,1956.3,1931.1,,
-28.938,34.926,4400,304.58,1939.5,1928.7,,
-29.552,34.892,4400,304.3,1921.6,1923.5,,
-29.463,35.575,4400,307.81,1927.5,1924.3,,
-30.333,36.453,4400,305.21,1891.9,1923.2,,
-30.952,36.917,4400,303.85,1868.7,1919.9,,
-31.059,37.716,4400,303.06,1859.2,1924.3,,
-31.841,38.378,4400,304.55,1836.6,1914.9,,
-32.448,38.507,4400,305.26,1820.5,1904.2,,
-33.026,39.58,4400,307.87,1803.6,1896.8,,
-33.371,39.845,4400,306.07,1788.8,1894.3,,
-33.466,40.017,4400,304.02,1780.9,1896.4,,
-34.165,41.825,4400,303.85,1750.8,1894.4,,
-34.445,42.498,4400,303.37,1738.2,1893.7,,
-34.615,42.49,4400,304.54,1736.1,1888.4,,
-34.899,42.451,4400,307.28,1734.3,1878.4,,
-34.903,42.327,4400,307.3,1735,1877.4,,
-34.883,42.162,4400,304.27,1730.3,1880.9,,
-34.682,42.326,4400,304.94,1736.1,1885.3,,
-35.097,42.376,4400,304.31,1723.4,1877.8,,
-34.692,42.498,4400,303.61,1732.1,1888.1,,
-34.819,42.33,4400,304.72,1731.9,1882.7,,
-34.667,42.574,4400,305.78,1736.7,1886.1,,
-34.868,41.001,4400,302.83,1734.6,1875.6,,
-34.408,40.486,4400,306.58,1757.8,1876.7,,
-33.834,39.926,4400,309.26,1782.3,1881,,
-33.191,38.387,4400,304.63,1799.5,1890.2,,
-32.886,37.734,4400,303.25,1808.9,1893.7,,
-32.73,37.749,4400,304.16,1815,1895.5,,
-32.105,37.003,4400,305.58,1839.8,1900.1,,
-31.329,35.957,4400,305.52,1867.7,1906.2,,
-30.54,35.442,4400,304.98,1891.8,1914.9,,
-30.114,34.805,4400,304.8,1907.4,1916.5,,
-29.975,34.649,4400,304.49,1911.6,1917.5,,
-29.037,33.271,4400,304.01,1945.8,1919.4,,
-28.856,33.024,4400,303.99,1952.5,1919.6,,
-28.425,32.171,4400,304.73,1971.8,1917.4,,
-27.312,31.035,4400,308.47,2019.5,1914.6,,
-26.705,30.517,4400,305.05,2033,1918.1,,
-26.331,30.054,4400,304.36,2045.4,1917.9,,
-25.868,29.08,4400,304.7,2066.1,1914.4,,
-25.492,28.462,4400,304.7,2081.3,1912.5,,
-24.91,28.689,4400,304.69,2097.2,1915.1,,
-24.87,27.093,4400,305.33,2110.4,1907,,
-23.659,26.757,4400,303.02,2144.1,1909.9,,
-23.636,26.652,4400,304.44,2148.7,1908.2,,
-23.087,25.512,4400,307.01,2179.4,1901.5,,
-22.265,24.809,4400,306.78,2209.5,1899.5,,
-21.568,23.635,4400,304.09,2233.7,1897.2,,
-21.198,23.316,4400,305.03,2250.2,1895.3,,
-20.562,23.278,4400,304.16,2268.9,1896.4,,
-20.443,23.339,4400,304.24,2272.5,1896.8,,
-20.008,21.875,4400,304.69,2298.5,1890.1,,
-19.202,20.326,4400,304.82,2335.7,1883.5,,
-18.774,19.849,4400,303.24,2348.1,1883,,
-17.605,19.366,4400,307.92,2390.8,1877.8,,
-17.415,18.493,4400,305.72,2394.3,1875.7,,
-16.74,17.743,4400,305.09,2405.1,1873.3,,
-16.372,17.303,4400,302.18,2402.9,1874,,
-15.773,16.717,4400,305.6,2411.8,1868.9,,
-15.373,16.026,4400,304.38,2408.9,1867,,
-14.716,15.89,4400,304.17,2402.6,1867,,
-14.672,15.207,4400,308.29,2411.3,1860.6,,
-13.696,13.703,4400,304.36,2394.2,1857.6,,
-12.648,13.346,4400,303.87,2379.9,1857,,
-12.737,13.168,4400,303.22,2380.3,1856.7,,
-12.224,12.62,4400,306.23,2380.9,1852.1,,
-11.409,11.77,4400,307.6,2376.2,1847.7,,
-10.981,10.831,4400,305.66,2370.6,1845.3,,
-10.363,10.249,4400,303.78,2362.3,1844.6,,
-97.839,92.337,4400,303.52,2359.5,1840.6,,
-91.606,87.983,4400,304.73,2357.5,1838,,
-95.071,87.792,4400,302.5,2356.4,1839.6,,
-80.711,7.928,4400,310.4,2362,1830.2,,
-81.027,64.482,4400,302.76,2352.6,1829.8,,
-72.354,60.843,4400,304.64,2350,1827.1,,
-70.104,55.814,4400,303.36,2347.3,1826.1,,
-62.429,43.445,4400,307.22,2352.7,1817.9,,
-54.417,41.531,4400,306.12,2343.7,1818.4,,
-48.932,38.599,4400,304.82,2336.8,1818.5,,
-44.629,24.222,4400,305.41,2337.2,1811.8,,
-39.377,23.103,4400,303.48,2327.2,1813.2,,
-30.813,12.958,4400,300.84,2310.2,1811.4,,
-32.149,0.75245,4400,306.27,2323.5,1804.5,,
-23.215,0.22303,4400,308.69,2311.4,1800.7,,
-19.288,-0.8286,4400,302.75,2285.6,1801.1,,
-17.532,-14.999,4400,302.49,2277.1,1798.4,,
-0.70149,-17.039,4400,307.21,2258,1794.3,,
-0.2722,-24.147,4400,306.2,2238.2,1792.3,,
-0.11273,-32.994,4400,304.63,2223.1,1789.7,,
0.5751,-4.487,4400,304.65,2194.3,1784.8,,
16.173,-4.759,4400,305.95,2168.2,1783.2,,
1.713,-54.402,4400,303.64,2155.7,1782.1,,
20.664,-60.806,4400,303.4,2141.9,1779.7,,
24.199,-67.957,4400,302.35,2126,1777.6,,
30.642,-72.104,4400.1,304.62,2112.6,1774.3,,
40.793,-76.204,4399.9,306.98,2090.6,1771.3,,
37.404,-78.288,4400,301.13,2084.3,1774.8,,
39.141,-78.467,4400,309.8,2098.3,1767.9,,
42.284,-77.624,4400,301.11,2073.2,1775.4,,
41.976,-75.341,4400,311,2097,1768.5,,
34.199,-63.269,4400,305,2112.5,1778.1,,
2.325,-55.912,4400,303.39,2139.6,1782,,
11.429,-39.508,4400,302.74,2179.7,1789.1,,
0.62024,-37.899,4400,306.16,2202.1,1786.7,,
-0.049169,-27.554,4400,304.34,2225.1,1792.4,,
-0.034083,-21.629,4400,306.27,2233.7,1793.4,,
-0.53927,-1.844,4400,307.58,2253.3,1793.5,,
-1.63,-0.70069,4400,304.08,2281.9,1800.7,,
-22.354,-0.4134,4400,304.71,2298.8,1801.1,,
-24.958,0.50954,4400,308.36,2314.8,1802.1,,
-29.336,0.97736,4400,303.18,2312.4,1808.1,,
-36.473,14.391,4400,302.64,2322.6,1810.2,,
-40.645,20.547,4400,306.96,2336.3,1809.2,,
-46.882,30.375,4400,307.75,2342.9,1812.6,,
-50.132,31.028,4400,303,2336.5,1816.5,,
-53.435,40.731,4400,302.42,2335.7,1821.1,,
-59.868,48.594,4400,308.28,2350.7,1819.5,,
-66.776,59.245,4400,307.73,2351.8,1824.2,,
-76.052,65.386,4400,303.85,2349.9,1829.6,,
-75.079,70.132,4400,303.7,2347,1831.9,,
-82.252,74.091,4400,303.91,2352.3,1833,,
-92.454,84.285,4400,305.5,2361.2,1835.7,,
-8.205,84.868,4400,305.36,2351,1836.7,,
-91.568,88.896,4400,307.13,2361.9,1836.5,,
-10.169,10.26,4400,302.4,2357.5,1845.9,,
-11.243,10.909,4400,304.85,2371.7,1846.1,,
-11.658,11.674,4400,304.23,2372.8,1849.8,,
-12.18,12.67,4400,306.46,2380.6,1852.2,,
-12.605,13.126,4400,307.9,2387.6,1852.8,,
-12.869,13.173,4400,304.28,2384,1855.8,,
-13.925,14.772,4400,303.88,2394.2,1862.7,,
-14.399,14.71,4400,303.65,2400.1,1862.3,,
-14.748,15.637,4400,304.27,2403.6,1865.7,,
-15.344,16.504,4400,305.99,2410.7,1867.9,,
-15.776,16.436,4400,307.5,2416.4,1866,,
-16.444,17.188,4400,304.88,2408.7,1871.2,,
-17.124,17.965,4400,303.11,2395.7,1875.7,,
-17.177,18.373,4400,304.66,2396.3,1876.2,,
-18.556,19.902,4400,305.61,2359.4,1881.4,,
-18.56,20.2,4400,304.39,2354.3,1883.8,,
-19.728,21.29,4400,304.11,2310.4,1888.1,,
-18.987,21.398,4400,305.01,2334.8,1888.4,,
-20.028,21.866,4400,307.89,2305.7,1887.3,,
-20.301,23.038,4400,305.27,2281.8,1894.6,,
-21.319,23.982,4400,303.73,2238.4,1899.3,,
-21.214,24.276,4400,302.68,2237.1,1901.7,,
-21.635,24.452,4400,307.43,2233.6,1898.1,,
-22.688,25.492,4400,307.41,2192.9,1901.6,,
-23.889,26.57,4400,303.84,2140.2,1907.9,,
-24.119,27.421,4400,304.11,2128.1,1911.2,,
-24.15,27.837,4400,304.06,2124.3,1913.2,,
-24.766,28.333,4400,304.25,2102.8,1914.1,,
-25.676,29.204,4400,303.79,2068.9,1916.4,,
-26.094,29.7,4400,304.27,2054.4,1917.1,,
-26.743,30.194,4400,307.29,2038.9,1914.2,,
-27.64,30.669,4400,307.5,2010.2,1911.8,,
-27.43,31.576,4400,304.4,2003.6,1920.8,,
-28.501,32.437,4400,304.26,1966.9,1918.8,,
-28.599,32.739,4400,305.02,1963.9,1918.9,,
-28.636,32.787,4400,304.41,1961.2,1919.5,,
-29.04,33.874,4400,304.26,1942.5,1922.5,,
-30.745,35.23,4400,303.88,1885,1912.3,,
-31.028,35.865,4400,303.88,1873.2,1912.3,,
-31.003,36.341,4400,307.95,1879.6,1910.4,,
-31.878,37.199,4400,307.09,1848.1,1903.2,,
-32.105,37.527,4400,304.51,1834.4,1905,,
-33.063,38,4400,303.31,1802.6,1891.9,,
-33.145,39.018,4400,304.87,1797.5,1894.9,,
-34.116,39.914,4400,302.9,1761.5,1884,,
-34.825,40.51,4400,306.93,1747.1,1867.9,,
-35.004,41.456,4400,306.86,1736.5,1870.4,,
-34.852,42.367,4400,304.66,1730.7,1882.4,,
-35.026,42.473,4400,304.4,1724.8,1879.8,,
-34.887,42.399,4400,304.56,1729.4,1882,,
-34.772,42.506,4400,304.37,1731.4,1885.4,,
-35.154,42.489,4400,304.31,1721.2,1877.3,,
-35.021,42.361,4400,304.1,1725,1879.5,,
-34.815,42.369,4400,306.95,1736.4,1880,,
-34.75,42.432,4400,307.63,1739.2,1880.8,,
-34.984,42.443,4400,304.36,1726.1,1880.5,,
-34.833,42.343,4400,305.51,1733.1,1881.4,,
-34.995,40.77,4400,304.51,1736,1869.3,,
-34.876,40.127,4400,304,1741.9,1868.3,,
-34.424,39.336,4400,304.07,1759,1872.3,,
-34.336,38.701,4400,303.31,1763.6,1871,,
-33.495,38.737,4400,304.58,1789,1886.5,,
-33.343,37.648,4400,306.69,1804.1,1879.4,,
-32.992,36.982,4400,307.59,1819.7,1880.7,,
-32.325,36.932,4400,305.48,1833.9,1895.8,,
-32.382,36.488,4400,304.54,1833.1,1893.2,,
-32.006,36.416,4400,304.76,1844.4,1899.1,,
-31.139,34.502,4400,303.84,1878.4,1902.2,,
-30.125,33.204,4400,305.39,1918.3,1906.2,,
-29.506,32.883,4400,304.12,1935.1,1912.7,,
-29.543,32.35,4400,304.9,1939.1,1908.4,,
-28.929,31.411,4400,303.8,1960.1,1910.2,,
-28.374,30.631,4400,305.54,1984.8,1908.6,,
-27.903,30.111,4400,304.61,1999.7,1910.2,,
-27.632,29.667,4400,304.55,2010.3,1909.6,,
-26.888,29.119,4400,305.15,2036.9,1910.2,,
-26.732,28.043,4400,305.48,2049.1,1905.1,,
-25.869,27.865,4400,305,2074.7,1908.2,,
-25.591,26.829,4400,304.13,2087.8,1904.8,,
-25.198,25.994,4400,304.33,2105.5,1901.8,,
-24.844,25.418,4400,304.72,2120.9,1899.6,,
-24.758,24.802,4400,308.21,2135.6,1893.8,,
-24.021,24.48,4400,305.13,2153.2,1896.7,,
-23.363,24.167,4400,304.94,2175.3,1896.6,,
-23.155,23.088,4400,305.78,2191.2,1891.1,,
-22.625,21.6,4400,303.05,2212,1887.4,,
-22.413,21.539,4400,304.43,2222.5,1886.2,,
-21.825,21.288,4400,304.91,2244.4,1885.4,,
-20.827,20.124,4400,304.06,2283.5,1881.8,,
-20.947,20.372,4400,303.17,2275.6,1883.6,,
-20.79,20.48,4400,307.53,2290.5,1880.6,,
-20.525,19.615,4400,307.85,2306.5,1876.6,,
-19.95,18.192,4400,303.38,2325.1,1874.4,,
-19.268,16.906,4400,303.13,2355.2,1869.3,,
-18.113,16.215,4400,304.14,2391.6,1866.2,,
-17.982,15.919,4400,304.17,2396.1,1865,,
-17.863,15.49,4400,306.78,2406.7,1861,,
-17.658,14.749,4400,306.9,2414.2,1857.7,,
-15.951,13.417,4400,304.33,2419.6,1854.9,,
-15.563,12.681,4400,303.48,2417.1,1852.6,,
-15.595,12.757,4400,303.96,2418.1,1852.5,,
-15.212,12.013,4400,305.74,2419.8,1847.9,,
-14.186,11.388,4400,307.78,2412.7,1844.1,,
-13.969,10.858,4400,305.64,2407,1843.6,,
-13.925,10.314,4400,304.23,2405.1,1842.3,,
-13.372,95.765,4400,303.12,2397.9,1840.3,,
-12.884,83.974,4400,305.46,2400,1833.4,,
-12.513,78.425,4400,303.33,2393.1,1832.9,,
-11.969,68.119,4400,306.19,2396.2,1826.3,,
-11.029,62.891,4400,307.55,2390.8,1823.4,,
-10.864,60.936,4400,305.34,2385.3,1824.4,,
