in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
19.32,329.72,2300.0,-11.986,22.591,0.99629,10190.0,13.655,84.476,503.95,3120000.0,689.0,618.41,1400.6,,,,,,,,,
19.536,326.08,2300.0,-1.088,22.258,0.9963,10205.0,13.655,84.061,485.88,3120000.0,689.06,617.45,1399.8,,,,,,,,,
20.199,323.61,2300.0,-0.97409,21.921,0.99519,10330.0,13.661,84.257,462.68,3140000.0,691.39,618.5,1391.1,,,,,,,,,
21.148,320.89,2300.0,-0.8628,21.59,0.99407,10440.0,13.672,84.661,436.33,3150000.0,694.98,620.5,1374.0,,,,,,,,,
21.974,317.32,2300.0,-0.75229,21.258,0.99383,10441.0,13.683,84.789,412.45,3130000.0,697.78,621.75,1355.5,,,,,,,,,
22.457,314.51,2300.0,-0.64101,20.924,0.99245,10624.0,13.684,84.803,394.72,3160000.0,698.99,621.68,1347.4,,,,,,,,,
23.056,309.96,2300.0,-0.53011,20.588,0.99172,10719.0,13.688,84.593,373.81,3170000.0,700.29,621.41,1334.4,,,,,,,,,
23.894,304.8,2299.9,-0.41883,20.252,0.99121,10768.0,13.696,84.476,351.05,3170000.0,702.45,621.72,1310.9,,,,,,,,,
24.816,302.39,2300.0,-0.30602,19.918,0.99075,10779.0,13.709,84.913,333.92,3150000.0,705.76,623.48,1276.6,,,,,,,,,
25.414,298.82,2300.0,-0.19627,19.588,0.99029,10828.0,13.715,84.861,318.42,3140000.0,707.16,623.52,1255.0,,,,,,,,,
25.82,293.79,2299.9,-0.08537,19.256,0.98942,10966.0,13.714,8.439,302.46,3160000.0,707.13,622.1,1244.6,,,,,,,,,
27.012,289.62,2300.0,0.02744,18.92,0.98872,11004.0,13.729,84.777,282.4,3140000.0,710.97,623.82,1190.3,,,,,,,,,
28.013,285.9,2300.0,0.1391,18.582,0.98813,11041.0,13.743,85.066,264.76,3130000.0,714.05,625.02,1141.3,,,,,,,,,
28.508,281.62,2300.0,0.25114,18.246,0.98828,11017.0,13.748,84.739,250.84,3110000.0,714.61,624.35,1119.9,,,,,,,,,
28.879,277.41,2300.0,0.36242,17.912,0.9875,11142.0,13.747,84.358,238.07,3120000.0,714.56,623.12,1108.2,,,,,,,,,
29.468,273.51,2300.0,0.47142,17.585,0.98705,11198.0,13.752,84.209,224.5,3120000.0,715.63,622.81,1082.5,,,,,,,,,
30.205,271.25,2300.0,0.58003,17.26,0.98624,11281.0,13.761,84.506,212.16,3120000.0,717.91,623.61,1046.1,,,,,,,,,
31.075,268.3,2300.0,0.69512,16.919,0.98514,11403.0,13.771,84.805,198.07,3120000.0,720.56,624.44,1004.6,,,,,,,,,
32.026,263.01,2300.0,0.80526,16.584,0.98391,11564.0,13.78,84.734,181.45,3140000.0,722.81,624.48,965.09,,,,,,,,,
32.898,258.34,2300.0,0.91273,16.258,0.98233,11783.0,13.786,84.713,167.28,3160000.0,724.92,624.48,932.63,,,,,,,,,
33.377,254.71,2300.0,10.259,15.922,0.98212,11811.0,13.791,84.459,157.94,3150000.0,725.6,623.96,917.11,,,,,,,,,
34.147,249.81,2300.0,11.345,15.598,0.98254,11721.0,13.804,84.178,146.73,3120000.0,727.28,623.96,886.57,,,,,,,,,
35.052,244.47,2299.9,12.431,15.272,0.98171,11817.0,13.814,83.987,135.19,3120000.0,729.41,624.06,855.84,,,,,,,,,
35.538,241.3,2300.0,13.571,14.93,0.9816,11815.0,13.82,83.816,128.29,3110000.0,730.33,623.93,840.73,,,,,,,,,
36.02,237.18,2300.0,14.691,14.59,0.98153,11815.0,13.826,83.452,120.91,3100000.0,730.93,623.43,827.93,,,,,,,,,
